REPORT_DAT,PSA
31/12/14 19:41,104
31/12/14 19:04,104
31/12/14 18:06,101
31/12/14 15:00,104
31/12/14 13:00,101
31/12/14 12:30,103
31/12/14 12:21,107
30/12/14 22:14,108
30/12/14 19:49,101
30/12/14 19:00,105
30/12/14 18:58,101
30/12/14 18:29,103
30/12/14 17:21,107
30/12/14 16:33,101
30/12/14 11:35,103
29/12/14 22:16,104
29/12/14 21:46,101
29/12/14 19:09,107
29/12/14 15:58,103
29/12/14 15:32,103
29/12/14 15:16,101
29/12/14 15:15,102
29/12/14 14:34,108
28/12/14 16:05,108
28/12/14 15:40,101
27/12/14 23:10,101
27/12/14 22:30,104
27/12/14 19:20,104
27/12/14 16:56,105
27/12/14 16:30,101
27/12/14 15:45,101
27/12/14 14:26,107
27/12/14 12:19,102
27/12/14 12:09,103
27/12/14 6:45,105
26/12/14 21:22,104
26/12/14 20:26,104
26/12/14 19:36,102
26/12/14 18:57,101
26/12/14 17:57,102
26/12/14 14:19,101
26/12/14 14:16,101
26/12/14 8:24,104
25/12/14 18:00,104
25/12/14 16:30,102
25/12/14 15:46,106
25/12/14 15:00,107
25/12/14 10:08,107
24/12/14 18:00,102
24/12/14 16:00,101
24/12/14 11:15,108
24/12/14 10:30,106
24/12/14 2:00,102
24/12/14 1:55,102
24/12/14 1:55,102
23/12/14 21:42,107
23/12/14 16:42,101
23/12/14 15:52,106
23/12/14 15:26,108
23/12/14 14:03,106
23/12/14 12:42,102
23/12/14 12:33,102
23/12/14 11:21,106
23/12/14 10:10,101
23/12/14 7:20,105
22/12/14 19:53,101
22/12/14 15:43,102
22/12/14 15:00,101
22/12/14 14:00,107
22/12/14 13:26,101
22/12/14 13:07,102
22/12/14 12:15,106
22/12/14 11:45,102
22/12/14 9:30,107
22/12/14 6:18,102
21/12/14 20:00,102
21/12/14 17:10,101
21/12/14 17:00,101
21/12/14 16:32,108
21/12/14 16:19,102
21/12/14 14:36,107
21/12/14 12:03,107
21/12/14 11:05,102
20/12/14 21:15,102
20/12/14 14:35,107
20/12/14 9:24,102
20/12/14 5:49,101
19/12/14 23:18,101
19/12/14 20:00,107
19/12/14 13:06,107
