REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
6/25/2016 1:51:17 PM,DAY,THEFT F/AUTO,OTHERS,2300 - 2399 BLOCK OF GOOD HOPE ROAD SE,7,701,8,8B,Cluster 28,007504 1,007504,Precinct 114,16104320,402258,132857,6/25/2016 2:00:45 AM,6/25/2016 11:45:07 AM
6/25/2016 2:26:10 PM,DAY,THEFT/OTHER,OTHERS,1117 1199  BLOCK OF WAHLER PLACE SE,7,706,8,8E,Cluster 39,009700 1,009700,Precinct 121,16104337,401055,129789,6/20/2016 8:00:28 AM,6/20/2016 9:45:05 AM
6/25/2016 2:44:38 PM,DAY,ROBBERY,GUN,800 - 899 BLOCK OF H R DRIVE SE,7,706,8,8E,Cluster 39,009700 2,009700,Precinct 125,16104341,400695,129114,6/25/2016 1:40:36 PM,6/25/2016 1:44:33 PM
6/27/2016 9:09:44 AM,DAY,BURGLARY,OTHERS,600 699  BLOCK OF ALABAMA AVENUE SE,7,705,8,8C,Cluster 39,009804 1,009804,Precinct 122,16104342,400278,130607,6/25/2016 9:45:46 AM,6/25/2016 12:10:49 PM
6/4/2016 4:03:07 PM,EVENING,MOTOR VEHICLE THEFT,OTHERS,856 - 883 BLOCK OF SOUTHERN AVENUE SE,7,706,8,8D,Cluster 39,,,Precinct 125,16090454,400702,128971,6/4/2016 1:30:26 AM,6/4/2016 3:10:57 PM
6/12/2016 6:51:21 AM,MIDNIGHT,BURGLARY,OTHERS,1800 1934  BLOCK OF GOOD HOPE ROAD SE,7,701,8,8A,Cluster 34,007504 1,007504,Precinct 114,16095535,401901,133068,6/12/2016 5:30:03 AM,6/12/2016 5:45:29 AM
6/18/2016 7:12:01 PM,EVENING,THEFT/OTHER,OTHERS,4037 4199  BLOCK OF SOUTH CAPITOL STREET,7,708,8,8D,Cluster 39,009807 1,009807,Precinct 124,16099821,399333,129102,6/18/2016 5:56:49 PM,6/18/2016 6:15:06 PM
6/18/2016 10:53:26 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,KNIFE,900 - 1299 BLOCK OF VALLEY AVENUE SE,7,706,8,8E,Cluster 39,009700 1,009700,Precinct 121,16099939,400801,129945,6/18/2016 8:00:36 PM,6/18/2016 9:18:11 PM
6/18/2016 11:17:44 PM,MIDNIGHT,THEFT F/AUTO,OTHERS,4000 4023  BLOCK OF MARTIN LUTHER KING JR AVENUE SW,7,708,8,8D,Cluster 39,009807 1,009807,Precinct 124,16099969,399102,129276,6/18/2016 10:39:23 PM,6/18/2016 10:43:11 PM
6/19/2016 6:11:17 AM,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,4 - 99 BLOCK OF ELMIRA STREET SE,7,708,8,8D,Cluster 39,009810 2,009810,Precinct 126,16099990,399480,128696,6/18/2016 11:08:59 PM,6/18/2016 11:15:58 PM
6/20/2016 9:03:36 PM,EVENING,THEFT/OTHER,OTHERS,2000 2098  BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,701,8,8A,Cluster 28,007503 1,007503,Precinct 114,16101151,400937,133147,6/20/2016 3:00:38 PM,6/20/2016 8:45:13 PM
6/21/2016 1:25:49 AM,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,2922 - 2999 BLOCK OF 2ND STREET SE,7,707,8,8C,,010400 2,010400,Precinct 123,16101219,399591,130876,6/20/2016 10:53:42 PM,6/20/2016 11:26:59 PM
6/21/2016 4:12:46 AM,MIDNIGHT,ROBBERY,GUN,3300 - 3399 BLOCK OF 5TH STREET SE,7,705,8,8C,Cluster 39,009804 2,009804,Precinct 122,16101310,400042,130370,6/21/2016 2:10:35 AM,
6/19/2016 7:33:07 PM,EVENING,MOTOR VEHICLE THEFT,OTHERS,4200 - 4399 BLOCK OF 7TH STREET SE,7,706,8,8D,Cluster 39,009811 2,009811,Precinct 125,16100477,400251,128889,6/19/2016 3:30:27 AM,6/19/2016 6:50:58 PM
6/20/2016 3:53:31 AM,MIDNIGHT,THEFT/OTHER,OTHERS,3033 3097  BLOCK OF STANTON ROAD SE,7,704,8,8E,Cluster 38,007404 3,007404,Precinct 117,16100663,401535,131621,6/20/2016 12:15:59 AM,6/20/2016 12:30:10 AM
6/18/2016 1:34:35 PM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,3033 3097  BLOCK OF STANTON ROAD SE,7,704,8,8E,Cluster 38,007404 3,007404,Precinct 117,16099627,401535,131621,6/18/2016 12:10:40 PM,6/18/2016 12:15:28 PM
6/17/2016 2:02:16 PM,DAY,BURGLARY,OTHERS,2500 - 2999 BLOCK OF SOUTHERN AVENUE SE,7,702,8,8B,Cluster 38,,,Precinct 116,16098911,402901,131166,6/17/2016 8:00:14 AM,6/17/2016 11:00:08 AM
6/29/2016 10:19:59 PM,EVENING,THEFT/OTHER,OTHERS,1800 - 1899 BLOCK OF SAVANNAH STREET SE,7,704,8,8B,Cluster 38,007409 3,007409,Precinct 116,16107097,401930,130945,6/29/2016 9:21:59 PM,6/29/2016 10:10:53 PM
6/30/2016 8:33:01 AM,DAY,THEFT/OTHER,OTHERS,734 - 855 BLOCK OF SOUTHERN AVENUE SE,7,706,8,8D,Cluster 39,009811 2,009811,Precinct 125,16107295,400489,128759,6/30/2016 7:13:51 AM,6/30/2016 7:22:41 AM
6/30/2016 2:39:01 PM,DAY,ROBBERY,OTHERS,1500 1699  BLOCK OF ALABAMA AVENUE SE,7,704,8,8E,Cluster 38,007304 1,007304,Precinct 120,16107494,401601,130970,6/30/2016 1:44:38 PM,6/30/2016 1:50:47 PM
6/18/2016 12:12:14 AM,MIDNIGHT,ROBBERY,GUN,1100 - 1237 BLOCK OF SUMNER ROAD SE,7,703,8,8C,Cluster 37,007401 1,007401,Precinct 119,16099312,400211,132550,6/17/2016 9:15:41 PM,6/17/2016 9:20:07 PM
6/18/2016 1:03:01 AM,MIDNIGHT,ROBBERY,GUN,1100 - 1237 BLOCK OF SUMNER ROAD SE,7,703,8,8C,Cluster 37,007401 1,007401,Precinct 119,16099320,400211,132550,6/17/2016 11:15:55 PM,6/17/2016 11:16:40 PM
6/29/2016 10:25:30 AM,DAY,MOTOR VEHICLE THEFT,OTHERS,4000 - 4399 BLOCK OF 3RD STREET SE,7,708,8,8D,Cluster 39,009810 1,009810,Precinct 125,16106688,399819,128990,6/24/2016 10:00:45 PM,6/29/2016 9:10:00 AM
6/29/2016 11:18:19 PM,MIDNIGHT,THEFT/OTHER,OTHERS,3000 - 3199 BLOCK OF NAYLOR ROAD SE,7,702,8,8B,Cluster 36,007502 2,007502,Precinct 115,16106911,403121,131703,6/29/2016 4:52:07 PM,6/29/2016 5:11:47 PM
6/29/2016 7:43:26 PM,EVENING,BURGLARY,OTHERS,3200 - 3299 BLOCK OF 8TH STREET SE,7,705,8,8C,Cluster 39,009804 1,009804,Precinct 122,16106999,400414,130573,6/29/2016 5:26:48 PM,6/29/2016 5:30:11 PM
6/29/2016 9:31:40 PM,EVENING,THEFT/OTHER,OTHERS,1100 - 1237 BLOCK OF SUMNER ROAD SE,7,703,8,8C,Cluster 37,007401 1,007401,Precinct 119,16107055,400211,132550,6/29/2016 8:20:05 PM,6/29/2016 8:44:56 PM
6/28/2016 9:34:39 PM,EVENING,THEFT/OTHER,OTHERS,2700 - 2799 BLOCK OF BRUCE PLACE SE,7,701,8,8B,Cluster 36,007504 1,007504,Precinct 114,16106489,402223,132166,6/28/2016 6:00:21 PM,6/28/2016 6:15:25 PM
6/22/2016 1:35:01 PM,DAY,THEFT/OTHER,OTHERS,1300 1899  BLOCK OF SOUTHERN AVENUE SE,7,706,8,8E,Cluster 38,,,Precinct 121,16102146,401637,129905,6/22/2016 12:45:47 PM,
6/21/2016 5:47:14 PM,EVENING,ROBBERY,GUN,3098 3099  BLOCK OF STANTON ROAD SE,7,704,8,8E,Cluster 38,007404 3,007404,Precinct 117,16101681,401647,131486,6/21/2016 4:50:22 PM,6/21/2016 4:55:11 PM
6/5/2016 1:37:27 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,800 899  BLOCK OF CHESAPEAKE STREET SE,7,706,8,8D,Cluster 39,009811 2,009811,Precinct 125,16090757,400660,129046,6/4/2016 10:13:47 PM,6/4/2016 10:16:02 PM
6/5/2016 3:02:49 AM,MIDNIGHT,THEFT/OTHER,OTHERS,1800 1934  BLOCK OF GOOD HOPE ROAD SE,7,701,8,8A,Cluster 34,007504 1,007504,Precinct 114,16090798,401901,133068,6/5/2016 1:32:18 AM,6/5/2016 3:02:47 AM
6/5/2016 6:25:30 AM,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,3300 3322  BLOCK OF OXON RUN ROAD SE,7,705,8,8C,Cluster 39,009804 1,009804,Precinct 122,16090886,400394,130327,6/5/2016 6:06:40 AM,6/5/2016 6:07:25 AM
6/5/2016 5:27:26 PM,EVENING,THEFT F/AUTO,OTHERS,1319 1340  BLOCK OF MAPLE VIEW PLACE SE,7,701,8,8A,Cluster 28,007503 2,007503,Precinct 114,16091118,400960,132707,6/5/2016 5:08:58 PM,6/5/2016 5:27:21 PM
6/5/2016 9:54:19 PM,EVENING,THEFT F/AUTO,OTHERS,200 - 255 BLOCK OF MALCOLM X AVENUE SE,7,707,8,8C,Cluster 39,010400 1,010400,Precinct 123,16091209,399865,130809,6/4/2016 10:00:15 PM,6/5/2016 11:00:05 AM
6/5/2016 11:04:40 PM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,4000 - 4399 BLOCK OF 3RD STREET SE,7,708,8,8D,Cluster 39,009810 1,009810,Precinct 125,16091263,399819,128990,6/5/2016 10:16:59 PM,6/5/2016 10:41:51 PM
6/6/2016 2:27:33 PM,DAY,BURGLARY,OTHERS,1900 - 2099 BLOCK OF MISSISSIPPI AVENUE SE,7,704,8,8B,Cluster 38,007409 3,007409,Precinct 116,16091478,402164,130679,6/3/2016 8:00:28 PM,6/6/2016 7:00:43 AM
6/5/2016 12:56:27 PM,DAY,BURGLARY,OTHERS,1290 1408  BLOCK OF ALABAMA AVENUE SE,7,705,8,8E,Cluster 38,007304 1,007304,Precinct 120,16090980,401146,130808,6/4/2016 10:17:30 PM,6/4/2016 10:22:54 PM
6/12/2016 11:50:14 AM,DAY,THEFT F/AUTO,OTHERS,1900 - 2099 BLOCK OF TREMONT STREET SE,7,704,8,8B,Cluster 38,007409 2,007409,Precinct 116,16095609,402130,130896,6/12/2016 1:00:43 AM,6/12/2016 10:50:02 AM
