REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
5/14/2016 4:34:13 AM,MIDNIGHT,ROBBERY,GUN,2800 - 2899 BLOCK OF JASPER ROAD SE,7,704,8,8E,Cluster 38,007404 3,007404,Precinct 117,16076515,401147,131551,5/14/2016 2:20:11 AM,5/14/2016 2:30:14 AM
5/14/2016 12:28:29 PM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,1300 1899  BLOCK OF SOUTHERN AVENUE SE,7,706,8,8E,Cluster 38,,,Precinct 121,16076651,401637,129905,5/14/2016 10:40:40 AM,5/14/2016 12:00:22 PM
5/14/2016 6:50:19 PM,EVENING,THEFT/OTHER,OTHERS,3700 3851  BLOCK OF 9TH STREET SE,7,706,8,8E,Cluster 39,009801 1,009801,Precinct 121,16076730,400504,129677,5/14/2016 1:50:32 PM,5/14/2016 1:55:14 PM
5/21/2016 7:30:18 AM,DAY,MOTOR VEHICLE THEFT,OTHERS,2900 - 2999 BLOCK OF POMEROY ROAD SE,7,703,8,8C,Cluster 37,007401 2,007401,Precinct 119,16081013,400312,132107,5/21/2016 7:17:45 AM,5/21/2016 7:30:17 AM
5/21/2016 12:43:05 PM,DAY,BURGLARY,OTHERS,3300 - 3399 BLOCK OF 18TH STREET SE,7,704,8,8E,Cluster 38,007403 1,007403,Precinct 116,16081099,401839,130997,4/30/2016 10:30:55 AM,5/21/2016 10:30:58 AM
5/21/2016 1:55:09 PM,DAY,THEFT/OTHER,OTHERS,3200 - 3225 BLOCK OF 13TH STREET SE,7,705,8,8E,Cluster 38,007304 2,007304,Precinct 120,16081109,400998,130720,5/21/2016 11:44:41 AM,5/21/2016 11:55:38 AM
5/21/2016 1:05:39 PM,DAY,THEFT/OTHER,OTHERS,4600 - 4799 BLOCK OF SOUTH CAPITOL STREET,7,708,8,8D,Cluster 39,010900 2,010900,Precinct 125,16081114,399848,128205,5/21/2016 12:40:31 PM,5/21/2016 12:50:22 PM
5/21/2016 3:36:30 PM,EVENING,THEFT F/AUTO,OTHERS,200 - 399 BLOCK OF OAKWOOD STREET SE,7,707,8,8C,Cluster 39,010400 2,010400,Precinct 123,16081186,399613,131109,5/21/2016 1:33:01 PM,5/21/2016 3:19:54 PM
5/21/2016 4:20:32 PM,EVENING,THEFT/OTHER,OTHERS,2200 - 2299 BLOCK OF SAVANNAH STREET SE,7,704,8,8E,Cluster 38,007403 1,007403,Precinct 116,16081207,402438,131109,5/21/2016 3:14:38 PM,5/21/2016 4:00:25 PM
5/28/2016 12:31:34 PM,DAY,ROBBERY,GUN,800 - 899 BLOCK OF H R DRIVE SE,7,706,8,8E,Cluster 39,009700 2,009700,Precinct 125,16085753,400695,129114,5/28/2016 11:10:19 AM,5/28/2016 11:25:34 AM
5/28/2016 2:54:00 PM,DAY,ASSAULT W/DANGEROUS WEAPON,OTHERS,225 399  BLOCK OF NEWCOMB STREET SE,7,707,8,8C,Cluster 39,010400 2,010400,Precinct 123,16085805,399674,131191,5/28/2016 1:07:37 PM,5/28/2016 2:37:52 PM
5/28/2016 5:19:42 PM,EVENING,THEFT/OTHER,OTHERS,2500 - 2599 BLOCK OF SAYLES PLACE SE,7,703,8,8A,Cluster 37,007407 2,007407,Precinct 119,16085870,400636,132455,5/28/2016 3:29:12 PM,5/28/2016 4:29:30 PM
5/6/2016 1:47:03 PM,DAY,THEFT/OTHER,OTHERS,900 - 911 BLOCK OF VARNEY STREET SE,7,706,8,8E,Cluster 39,009700 1,009700,Precinct 121,16071634,400736,129733,4/28/2016 7:00:51 PM,5/2/2016 10:45:56 AM
4/29/2016 1:07:29 PM,DAY,THEFT F/AUTO,OTHERS,1 - 199 BLOCK OF DARRINGTON STREET SW,7,708,8,8D,Cluster 39,009807 2,009807,Precinct 126,16067227,399075.71,128801.54,4/29/2016 11:06:03 AM,4/29/2016 11:36:09 AM
4/29/2016 2:38:11 PM,DAY,ASSAULT W/DANGEROUS WEAPON,KNIFE,1300 - 1399 BLOCK OF SAVANNAH PLACE SE,7,705,8,8E,Cluster 38,007304 1,007304,Precinct 120,16067298,401277,130557,4/29/2016 1:28:52 PM,4/29/2016 2:37:06 PM
4/29/2016 11:20:45 PM,MIDNIGHT,ROBBERY,GUN,1340 1399  BLOCK OF HOWARD ROAD SE,7,703,8,8A,Cluster 37,007407 2,007407,Precinct 119,16067608,400711,132485,4/27/2016 12:30:08 PM,4/27/2016 12:36:25 PM
4/30/2016 4:12:35 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,500 599  BLOCK OF LEBAUM STREET SE,7,707,8,8C,Cluster 39,010400 2,010400,Precinct 123,16067646,400183,131022,4/29/2016 11:03:04 PM,4/30/2016 12:59:17 AM
4/30/2016 4:14:15 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,2300 - 2399 BLOCK OF GREEN STREET SE,7,701,8,8A,Cluster 28,007504 1,007504,Precinct 114,16067765,401606,132657,4/30/2016 1:42:04 AM,4/30/2016 2:15:16 AM
5/1/2016 4:00:37 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,500 - 599 BLOCK OF NEWCOMB STREET SE,7,707,8,8C,Cluster 39,010400 2,010400,Precinct 123,16068249,400060,130892,4/30/2016 10:42:23 PM,5/1/2016 12:11:51 AM
5/1/2016 5:00:33 AM,MIDNIGHT,THEFT/OTHER,OTHERS,1000 - 1099 BLOCK OF TANNER PLACE SE,7,704,8,8E,Cluster 38,007304 1,007304,Precinct 120,16068415,401561,130620,5/1/2016 4:15:41 AM,5/1/2016 5:00:26 AM
5/1/2016 9:34:33 AM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,3033 3097  BLOCK OF STANTON ROAD SE,7,704,8,8E,Cluster 38,007404 3,007404,Precinct 117,16068441,401535,131621,4/30/2016 3:00:40 PM,4/30/2016 4:00:11 PM
5/1/2016 1:30:37 PM,DAY,ASSAULT W/DANGEROUS WEAPON,OTHERS,2300 - 2399 BLOCK OF SAVANNAH STREET SE,7,704,8,8B,Cluster 38,007409 1,007409,Precinct 116,16068490,402562,131142,5/1/2016 10:10:44 AM,5/1/2016 12:00:09 PM
5/1/2016 2:36:25 PM,DAY,ROBBERY,GUN,4680 - 4699 BLOCK OF MARTIN LUTHER KING JR AVENUE SW,7,708,8,8D,,010900 2,010900,Precinct 126,16068561,399037,128205,5/1/2016 1:30:09 PM,5/1/2016 1:50:53 PM
5/1/2016 8:54:39 PM,EVENING,BURGLARY,OTHERS,4284 4293  BLOCK OF 6TH STREET SE,7,706,8,8D,Cluster 39,009811 1,009811,Precinct 125,16068664,400120,128696,5/1/2016 5:32:36 PM,5/1/2016 8:13:25 PM
