REPORT_DATE,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
2016-03-01 00:14:25,MIDNIGHT,THEFT F/AUTO,OTHERS,500 - 599 BLOCK OF 13TH STREET SE,1,108,6,6B,Cluster 26,006900 1,006900,Precinct 91,16031311,401014,134923,2/29/2016 9:30:40 PM,2/29/2016 10:45:54 PM
2016-03-01 00:17:59,MIDNIGHT,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 4TH STREET NE,1,104,6,6C,Cluster 25,008301 1,008301,Precinct 84,16031302,399950,136696,2/29/2016 11:00:21 AM,2/29/2016 7:00:13 PM
2016-03-01 06:05:21,MIDNIGHT,THEFT F/AUTO,OTHERS,700 - 799 BLOCK OF 6TH STREET NE,1,104,6,6C,Cluster 25,008302 1,008302,Precinct 83,16031352,400135,136856,2/29/2016 11:15:57 PM,2/29/2016 11:45:51 PM
2016-03-01 08:28:42,DAY,THEFT/OTHER,OTHERS,1118 - 1143 BLOCK OF 6TH STREET NE,1,104,6,6C,Cluster 25,010600 2,010600,Precinct 83,16400340,400135,137425,2/22/2016 4:20:12 PM,2/22/2016 4:30:29 PM
2016-03-01 09:02:54,DAY,THEFT F/AUTO,OTHERS,700 - 799 BLOCK OF 17TH STREET SE,1,108,6,6B,Cluster 26,006802 2,006802,Precinct 91,16031420,401669,134771,2/29/2016 5:30:45 PM,3/1/2016 6:30:17 AM
2016-03-01 11:23:21,DAY,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF EAST CAPITOL STREET,1,108,6,6B,Cluster 26,006700 1,006700,Precinct 88,16400345,401338,135773,2/19/2016 6:48:36 PM,2/20/2016 2:30:54 PM
2016-03-01 12:10:41,DAY,THEFT/OTHER,OTHERS,200 - 299 BLOCK OF 14TH STREET NE,1,108,6,6A,Cluster 25,008002 2,008002,Precinct 86,16400376,401257,136105,2/17/2016 1:20:48 PM,2/17/2016 8:30:02 PM
2016-03-01 12:45:01,DAY,THEFT/OTHER,OTHERS,200 - 299 BLOCK OF 14TH STREET NE,1,108,6,6A,Cluster 25,008002 2,008002,Precinct 86,16400377,401257,136105,2/19/2016 2:00:12 PM,2/19/2016 9:00:23 PM
2016-03-01 15:15:42,EVENING,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF A STREET NE,1,108,6,6A,Cluster 26,008002 1,008002,Precinct 86,16400390,401337,135898,2/25/2016 12:15:48 PM,2/29/2016 4:31:00 PM
2016-03-01 15:33:11,EVENING,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF A STREET NE,1,108,6,6A,Cluster 26,008002 1,008002,Precinct 86,16400391,401337,135898,2/26/2016 12:00:15 PM,2/26/2016 10:35:26 PM
2016-03-01 16:59:01,EVENING,ROBBERY,OTHERS,700 - 799 BLOCK OF EAST CAPITOL STREET,1,107,6,6B,Cluster 26,006600 1,006600,Precinct 89,16031693,400384,135773,3/1/2016 3:27:38 PM,3/1/2016 3:28:47 PM
2016-03-01 20:11:22,EVENING,THEFT/OTHER,OTHERS,700 - 723 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,005800 1,005800,Precinct 129,16031831,397228,136778,3/1/2016 6:45:26 PM,3/1/2016 7:00:17 PM
2016-03-01 20:34:15,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 7TH STREET NW,1,102,2,2C,Cluster 8,005800 1,005800,Precinct 129,16031860,398098,136539,3/1/2016 6:00:44 PM,3/1/2016 7:45:09 PM
2016-03-01 21:01:02,EVENING,THEFT F/AUTO,OTHERS,1100 - 1150 BLOCK OF 1ST STREET NE,1,103,6,6C,Cluster 25,010600 2,010600,Precinct 83,16031773,399489,137372,3/1/2016 8:50:20 AM,3/1/2016 5:00:58 PM
2016-03-01 21:40:55,EVENING,THEFT/OTHER,OTHERS,900 - 1199 BLOCK OF 4TH STREET SW,1,105,6,6D,Cluster 9,010200 2,010200,Precinct 142,16031893,398469,134448,3/1/2016 8:55:33 PM,3/1/2016 9:00:50 PM
2016-03-01 21:59:12,EVENING,THEFT F/AUTO,OTHERS,1000 - 1199 BLOCK OF 6TH STREET SW,1,105,6,6D,Cluster 9,010200 2,010200,Precinct 142,16031233,398273,134400,2/29/2016 4:30:17 PM,2/29/2016 5:30:07 PM
2016-03-01 22:25:04,EVENING,THEFT/OTHER,OTHERS,400 - 499 BLOCK OF NEW JERSEY AVENUE NW,1,103,6,6C,Cluster 8,005900 1,005900,Precinct 1,16031624,399029,136400,3/1/2016 9:30:29 AM,3/1/2016 1:30:19 PM
2016-03-01 23:31:50,MIDNIGHT,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 12TH STREET NW,1,101,2,2C,Cluster 8,005800 1,005800,Precinct 129,16031944,397563,136543,3/1/2016 6:21:52 PM,3/1/2016 6:31:44 PM
2016-03-01 23:34:34,MIDNIGHT,THEFT F/AUTO,OTHERS,400 - 499 BLOCK OF 5TH STREET NW,1,102,2,2C,Cluster 8,005800 2,005800,Precinct 143,16031931,398357,136402,3/1/2016 6:00:22 PM,3/1/2016 10:30:28 PM
2016-03-02 01:07:26,MIDNIGHT,THEFT F/AUTO,OTHERS,500 - 599 BLOCK OF 4TH STREET NW,1,103,2,2C,Cluster 8,005900 1,005900,Precinct 143,16031934,398596,136543,3/1/2016 10:40:19 PM,3/1/2016 11:25:15 PM
