REPORT_DATE,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
2016-03-01 08:31:33,DAY,THEFT/OTHER,OTHERS,3639 - 3649 BLOCK OF GEORGIA AVENUE NW,4,409,1,1A,Cluster 2,003100 1,003100,Precinct 43,16030987,397904,140846,2/29/2016 2:09:14 PM,2/29/2016 2:55:37 PM
2016-03-01 08:46:20,DAY,THEFT/OTHER,OTHERS,6900  - 6999 BLOCK OF 6TH STREET NW,4,401,4,4B,Cluster 17,001702 1,001702,Precinct 63,16400341,398144,145142,2/22/2016 1:30:53 PM,2/22/2016 5:50:08 PM
2016-03-01 13:01:36,DAY,THEFT F/AUTO,OTHERS,600  - 699 BLOCK OF DELAFIELD PLACE NW,4,407,4,4D,Cluster 18,002201 1,002201,Precinct 55,16025179,398157,142362,2/19/2016 6:26:05 AM,2/19/2016 7:47:58 AM
2016-03-01 14:59:28,DAY,THEFT F/AUTO,OTHERS,3601 - 3638 BLOCK OF GEORGIA AVENUE NW,4,409,1,1A,Cluster 2,003100 1,003100,Precinct 43,16031300,397912,140776,2/29/2016 9:59:11 PM,2/29/2016 10:44:03 PM
2016-03-01 16:59:25,EVENING,THEFT/OTHER,OTHERS,1000 - 1199 BLOCK OF VARNUM STREET NE,4,405,5,5B,Cluster 20,009504 2,009504,Precinct 67,16031688,400742,141663,2/18/2016 3:00:36 PM,2/18/2016 5:00:29 PM
2016-03-01 23:49:46,MIDNIGHT,ROBBERY,GUN,3700  - 3899 BLOCK OF 16TH STREET NW,4,404,4,4A,Cluster 18,002600 1,002600,Precinct 47,16031937,396840,141153,3/1/2016 10:03:28 PM,3/1/2016 11:26:37 PM
2016-03-02 00:13:15,MIDNIGHT,ROBBERY,GUN,4400  - 4499 BLOCK OF 14TH STREET NW,4,404,4,4C,Cluster 18,002501 2,002501,Precinct 48,16031932,397162,141848,3/1/2016 8:58:04 PM,3/1/2016 9:00:38 PM
2016-03-02 08:05:41,DAY,THEFT F/AUTO,OTHERS,5900  - 5910 BLOCK OF 3RD STREET NE,4,406,4,4B,Cluster 19,009505 1,009505,Precinct 65,16032070,399760,143747,3/2/2016 1:30:07 AM,3/2/2016 7:30:37 AM
2016-03-02 08:59:06,DAY,THEFT F/AUTO,OTHERS,300  - 399 BLOCK OF NICHOLSON STREET NE,4,406,4,4B,Cluster 19,009505 3,009505,Precinct 65,16032086,399834,143623,3/1/2016 9:17:32 PM,3/2/2016 8:01:01 AM
2016-03-02 10:45:08,DAY,THEFT F/AUTO,OTHERS,5680  - 5699 BLOCK OF 3RD STREET NE,4,406,4,4B,Cluster 19,009505 3,009505,Precinct 65,16032123,399742,143428,3/1/2016 7:00:55 PM,3/2/2016 9:30:49 AM
2016-03-02 10:59:27,DAY,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF MICHIGAN AVENUE NE,4,405,5,5E,Cluster 20,009201 1,009201,Precinct 74,16032148,400251,140544,2/22/2016 10:00:46 AM,3/1/2016 9:00:22 AM
2016-03-02 13:53:24,DAY,THEFT F/AUTO,OTHERS,100  - 199 BLOCK OF RITTENHOUSE STREET NW,4,406,4,4B,Cluster 17,001902 2,001902,Precinct 59,16032233,398882,144115,3/1/2016 6:32:44 PM,3/2/2016 7:53:16 AM
2016-03-02 16:37:30,EVENING,THEFT/OTHER,OTHERS,1000 - 1199 BLOCK OF VARNUM STREET NE,4,405,5,5B,Cluster 20,009504 2,009504,Precinct 67,16032269,400742,141663,3/2/2016 2:04:48 PM,3/2/2016 3:18:16 PM
2016-03-02 17:22:44,EVENING,BURGLARY,OTHERS,3800  - 3899 BLOCK OF GEORGIA AVENUE NW,4,404,4,4C,Cluster 18,002502 2,002502,Precinct 47,16032319,397868,141140,3/1/2016 6:00:50 PM,3/2/2016 7:00:45 AM
2016-03-02 17:35:47,EVENING,THEFT F/AUTO,OTHERS,5714  - 5799 BLOCK OF 4TH STREET NW,4,402,4,4B,Cluster 17,001902 1,001902,Precinct 58,16032362,398437,143544,3/1/2016 8:00:17 PM,3/2/2016 10:00:39 AM
2016-03-02 17:49:14,EVENING,THEFT/OTHER,OTHERS,5500 - 5599 BLOCK OF SOUTH DAKOTA AVENUE NE,4,406,5,5A,Cluster 19,009508 1,009508,Precinct 66,16032339,399890,143127,3/2/2016 2:46:40 PM,3/2/2016 3:00:06 PM
