REPORT_DAT,PSA,WARD,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
2759160,104,6,25,8302, 84,16127551,400384,136784,2755800,2759100
2758920,107,6,26,6700, 88,16127544,400931,135354,2727000,2752200
2758920,107,6,25,8200, 130,16127532,399695,136105,2741640,2741820
2758740,105,6,9,7200, 128,16127556,399210.55,134299.54,2756760,2756940
2755260,102,6,8,4702, 1,16127413,398413,137185,2738640,2746080
2748180,108,6,26,6900, 91,16127439,401257,135070,2743200,2743860
2747760,102,6,8,4702, 18,16127459,398186,137185,2742300,2746200
2745240,106,6,26,7100, 91,16127432,401147,134664,2728800,2743200
2742120,105,6,0,10200, 142,16127412,398185,135525,2739000,2739600
2741940,107,6,25,8100, 85,16127375,400637,136105,2570400,2732400
2738520,101,2,8,5800, 129,16127381,397834,136610,2736540,2738520
2734080,101,2,8,5800, 129,16127337,397497,136718,2732160,2732400
2732220,104,6,25,8402, 82,16127243,401135,136927,2669400,2678460
2725980,105,6,9,10200, 142,16127284,398469,134448,2724720,2724780
2724960,101,2,8,5800, 129,16127280,397328,136611,2642400,2724960
2723400,101,2,8,5800, 129,16127217,397328,136611,2703600,2717100
2720040,103,6,0,6202, 130,16127236,399272,136594,2717700,2720040
2719560,105,6,9,10500, 128,16127234,399075,134351,2714400,2717460
2715360,105,6,9,10200, 142,16127216,398317,134827,2548800,2713500
2709060,104,6,25,8302, 84,16126707,400332,136741,2643960,2645940
2707620,104,6,25,8302, 84,16126696,400233,136609,2639580,2643900
2702700,104,6,25,8410, 82,16127137,401078,137051,2680200,2691000
2697780,104,6,25,8200, 84,16127163,399885,136274,2693100,2697120
2694360,103,6,8,4702, 1,16127142,398683,137118,2690040,2691000
2691360,102,2,8,5800, 143,16127126,398186,136327,2687700,2691360
2690880,107,6,25,8302, 85,16127109,400437,136362,2687940,2689800
2684400,105,6,9,6400, 127,16127043,399108,134090,2679960,2684400
2683740,107,6,25,8302, 85,16127052,400437,136362,2680920,2681820
2682960,105,6,9,6400, 127,16127040,399108,134090,2677320,2682960
2666940,108,6,26,6900, 91,16126940,401090,135279,2656800,2658600
2665380,107,6,26,6700, 88,16126928,400589,135354,2628900,2641500
2659860,103,6,0,4702, 1,16126846,399213,136892,2650740,2659860
2653440,102,2,8,5800, 129,16126783,398098,136808,2638800,2650800
2653080,102,2,8,5800, 129,16126801,398098,136808,2636100,2649000
2643660,104,6,25,8402, 82,16126697,400790,136582,2639400,
2637540,101,2,8,5800, 129,16126641,397700,136611,2635980,2637000
2636400,103,6,8,4702, 1,16126629,399078,136928,2395800,2632500
2636400,101,2,8,5800, 129,16126639,397700,136611,2634540,2635200
2636160,101,2,8,5800, 129,16126638,397329,136718,2588400,2599200
2635560,104,6,25,10600, 83,16126630,400043,137591,2588400,2631600
2633040,105,6,9,6400, 127,16126591,398943,133729,2627400,2628000
2626920,105,6,9,10200, 142,16126575,398469,134448,2624520,2624580
2597640,103,2,8,5900, 143,16126392,398750,136855,2593800,2597640
2586600,105,6,9,10200, 142,16126294,398469,134448,2584740,2584800
2581560,107,6,26,7000, 90,16126231,400232,134987,2578200,2578500
2580900,104,6,25,10600, 83,16126229,400042,137251,2548800,2574000
2580300,104,6,25,10600, 83,16126226,400042,137251,2566800,2575800
2572740,104,6,25,8402, 82,16126144,400930,136784,2566800,2568600
2570580,103,6,8,4702, 1,16126143,399213,137056,2568540,2569860
2570280,104,6,25,10600, 83,16126101,400233,137319,2565000,2567940
2568900,107,6,26,7000, 90,16126129,400331,135045,2566440,2566800
2568840,107,6,25,8200, 89,16126119,399885,136110,2562060,2568840
2568780,104,6,25,8402, 82,16126131,400930,136855,2465400,2466000
2568240,102,2,8,5800, 143,16126057,398098,136401,2561400,2562600
2568180,104,6,25,10600, 83,16126109,400233,137319,2566860,2568060
2563080,107,6,26,6600, 89,16126042,399950,135711,1965600,2559900
2557980,108,6,26,6700, 88,16401548,401257,135710,1170000,1189200
2555520,102,2,8,5900, 143,16125966,398508,136963,2547660,2553120
2553420,106,6,27,7200, 131,16401546,400589,134360,2451600,2498400
2552640,106,6,26,6500, 130,16401545,399592,134902,2410500,2471700
2550240,106,6,27,7200, 131,16125915,399995,134294,2545440,2550240
2510880,102,2,8,5900, 143,16125753,398508,136963,2506620,2507100
2501820,106,6,27,7200, 131,16125658,400383,134411,2494440,2494740
2494680,104,6,25,10600, 83,16125621,399886,137052,2489400,2492700
2494440,108,6,26,6900, 87,16125566,401337,135279,2448000,2478240
2493540,107,6,25,8200, 130,16123717,399740,136326,2242860,2244960
2491500,101,2,8,5800, 129,16125448,397700,136885,2398200,2398320
2489520,108,6,25,8001, 81,16125565,401092,136609,2300100,2319300
2489460,106,6,26,7100, 91,16125545,400790,134507,2408400,2446500
2485680,101,2,8,5800, 129,16125520,397700,136611,2482740,2482800
2484960,103,6,8,4702, 1,16125199,399078,136928,2440800,2442600
2484780,101,2,8,5800, 129,16125483,397700,136611,2477700,2478000
2483760,103,6,8,4702, 1,16125497,399078,136928,2433000,2435400
2472840,106,6,26,6500, 130,16125345,399304,135152,1875600,2386800
2472480,101,2,8,5800, 129,16125347,397700,136611,2464860,2469360
2469600,107,6,26,6600, 89,16125361,400233,135648,2457000,2466900
2465880,104,6,25,10600, 83,16125269,399756,137052,2453700,2461620
2463600,101,2,8,5800, 129,16125299,397700,136611,1879200,1882800
2458500,108,6,26,6802, 87,16125263,401892,135229,2378700,2379000
2453100,107,6,26,6700, 88,16125226,400735,135618,2399400,2444400
2436720,102,2,8,5800, 129,16125160,398185,136884,2434800,2436720
2421180,103,6,25,10600, 83,16125061,399351,137319,2413560,2418720
2419320,101,2,8,5800, 129,16125073,397745,136664,2412660,2419260
2408820,103,6,8,4702, 1,16124916,399078,136928,2145600,2406840
2404140,101,2,8,5800, 129,16124894,397563,136664,2399400,2399460
2402220,102,6,8,4702, 1,16124866,398532,137185,2396520,2401320
2391360,107,6,26,6500, 89,16124756,400232,135255,2386740,2387580
2389980,107,6,26,7000, 90,16401540,400134,134907,1773420,1778400
2389560,107,6,26,7000, 90,16401539,400134,134907,1354800,1356300
2384880,105,6,9,10200, 142,16124712,397921,135525,2368200,2373300
2382840,103,6,0,6202, 130,16401530,399272,136594,2064000,2065800
2381220,102,2,8,5800, 143,16124659,398357,136664,808020,864000
2376480,104,6,25,8402, 82,16124625,400930,136927,2217600,2246460
2376000,107,6,26,7000, 90,16401525,400134,134907,1362900,2313300
2371560,104,6,25,10600, 83,16401534,399823,137081,2293200,2296800
2369940,108,6,26,6900, 91,16401531,401212,135210,2160000,2163000
2344260,103,6,8,5900, 1,16124491,398998,136737,2337300,2344260
2343720,102,2,8,5800, 143,16124415,398185,136475,2331360,2332740
2342520,102,2,8,5800, 143,16124413,398185,136475,2327040,2332740
2337180,108,6,26,6801, 87,16124369,401480,135528,2324760,2324940
2326560,107,6,25,8100, 85,16124365,400637,136259,2323320,2326560
2317320,102,2,8,5800, 143,16124191,398008,136402,2305200,2305500
2316060,104,6,25,8302, 83,16124263,400233,136927,2314080,2314500
