Month,PSA,Crime count
12,104,39
12,101,57
12,103,18
12,107,41
12,108,27
12,105,17
12,102,49
12,106,15
11,106,16
11,103,22
11,107,34
11,102,58
11,104,18
11,101,38
11,108,14
11,105,21
10,106,11
10,101,53
10,102,45
10,104,52
10,107,31
10,108,22
10,105,20
10,103,26
9,103,28
9,108,36
9,104,45
9,102,47
9,101,35
9,107,47
9,106,24
9,105,17
8,108,27
8,105,16
8,104,48
8,107,52
8,102,39
8,106,20
8,101,49
8,103,33
7,107,61
7,106,40
7,102,67
7,101,40
7,108,48
7,104,55
7,103,39
7,105,20
6,105,12
6,101,55
6,102,63
6,103,28
6,107,55
6,106,22
6,104,47
6,108,48
5,108,29
5,103,23
5,102,55
5,101,40
5,107,42
5,106,27
5,104,34
5,105,25
4,108,25
4,107,26
4,101,35
4,104,24
4,106,18
4,102,50
4,105,18
4,103,27
3,102,43
3,101,32
3,105,20
3,103,25
3,108,15
3,104,26
3,106,13
3,107,15
2,104,17
2,101,46
2,105,18
2,107,18
2,108,12
2,106,19
2,102,40
2,103,13
1,103,30
1,104,30
1,102,29
1,108,21
1,107,37
1,101,33
1,106,26
1,105,13
12,101,47
12,104,36
12,106,19
12,108,30
12,105,17
12,102,42
12,107,30
12,103,17
11,104,17
11,108,21
11,101,29
11,102,39
11,107,39
11,105,22
11,106,19
11,103,12
10,102,40
10,101,35
10,104,28
10,103,19
10,108,33
10,107,36
10,106,26
10,105,19
9,106,26
9,104,23
9,107,42
9,103,16
9,102,46
9,108,29
9,101,35
9,105,24
8,106,27
8,103,22
8,108,23
8,107,40
8,102,49
8,101,29
8,104,38
8,105,25
7,108,20
7,101,41
7,105,24
7,107,34
7,106,39
7,104,49
7,102,54
7,103,20
6,106,33
6,101,51
6,104,43
6,107,47
6,108,20
6,102,57
6,105,30
6,103,9
5,104,35
5,101,48
5,106,24
5,107,44
5,102,62
5,105,27
5,103,15
5,108,33
4,101,34
4,108,18
4,102,55
4,103,10
4,105,16
4,104,13
4,107,29
4,106,9
3,103,13
3,102,55
3,104,19
3,108,17
3,101,32
3,106,17
3,105,17
3,107,20
2,102,44
2,103,11
2,106,12
2,108,20
2,107,26
2,101,41
2,104,26
2,105,15
1,104,25
1,108,23
1,105,14
1,102,46
1,103,18
1,101,43
1,107,38
1,106,21
12,102,48
12,101,33
12,107,46
12,103,11
12,104,30
12,106,10
12,105,21
12,108,28
11,101,42
11,107,26
11,108,18
11,102,44
11,104,22
11,103,15
11,105,19
11,106,18
10,102,49
10,105,22
10,108,23
10,107,45
10,104,33
10,106,23
10,103,12
10,101,44
9,101,39
9,103,18
9,107,44
9,106,21
9,104,42
9,108,19
9,105,16
9,102,38
8,102,44
8,101,44
8,106,37
8,108,28
8,104,32
8,107,48
8,105,21
8,103,18
7,103,20
7,101,38
7,105,25
7,104,32
7,108,15
7,107,30
7,102,51
7,106,21
6,107,40
6,102,48
6,101,52
6,105,21
6,106,23
6,108,22
6,104,28
6,103,14
6,504,1
5,101,40
5,106,23
5,102,52
5,107,33
5,104,33
5,108,14
5,103,12
5,105,21
4,105,20
4,104,18
4,102,40
4,103,11
4,106,20
4,108,17
4,101,41
4,107,27
3,104,24
3,102,53
3,103,15
3,106,15
3,101,54
3,108,11
3,105,14
3,107,22
2,103,8
2,101,48
2,107,24
2,104,27
2,102,48
2,106,10
2,105,16
2,108,6
1,102,34
1,101,43
1,105,20
1,104,16
1,107,19
1,106,12
1,108,9
1,103,21
1,207,1
1,705,1
