REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
5/14/2016 5:25:54 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,5000 - 5099 BLOCK OF CALL PLACE SE,6,604,7,7E,Cluster 33,009904 2,009904,Precinct 104,16076538,406101,135185,5/14/2016 3:45:54 AM,5/14/2016 3:50:40 AM
5/14/2016 6:55:14 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,4100 - 4276 BLOCK OF EAST CAPITOL STREET,6,603,7,7F,Cluster 32,007703 1,007703,Precinct 103,16076569,405084,135772,5/14/2016 5:59:35 AM,5/14/2016 6:49:59 AM
5/14/2016 8:56:40 AM,DAY,THEFT/OTHER,OTHERS,3918 - 3999 BLOCK OF SOUTHERN AVENUE SE,6,606,7,7B,Cluster 35,007603 1,007603,Precinct 110,16076598,404566,132827,5/14/2016 7:55:09 AM,
5/14/2016 4:42:34 PM,EVENING,THEFT/OTHER,OTHERS,2100 - 2199 BLOCK OF SUITLAND TERRACE SE,6,606,7,7B,Cluster 35,007603 1,007603,Precinct 110,16076646,404402,132787,5/14/2016 10:30:49 AM,5/14/2016 11:53:23 AM
5/14/2016 4:05:57 PM,EVENING,THEFT F/AUTO,OTHERS,5000 - 5099 BLOCK OF KIMI GRAY COURT SE,6,604,7,7E,Cluster 33,009904 2,009904,Precinct 104,16076667,405952,134938,5/14/2016 12:30:17 AM,5/14/2016 10:37:11 AM
5/14/2016 12:16:23 PM,DAY,BURGLARY,OTHERS,1600 - 1699 BLOCK OF 16TH STREET SE,6,607,8,8A,Cluster 34,007601 5,007601,Precinct 140,16076670,401542,133586,5/14/2016 1:19:05 AM,5/14/2016 1:40:57 AM
5/21/2016 5:49:26 AM,MIDNIGHT,THEFT/OTHER,OTHERS,3900 - 3919 BLOCK OF BENNING ROAD NE,6,602,7,7F,Cluster 30,009603 2,009603,Precinct 102,16080997,404459,136336,5/21/2016 5:05:18 AM,5/21/2016 5:41:10 AM
5/21/2016 8:56:48 AM,DAY,THEFT F/AUTO,OTHERS,4200 - 4299 BLOCK OF HILDRETH STREET SE,6,605,7,7E,Cluster 33,007707 2,007707,Precinct 106,16081028,405054,134472,5/20/2016 8:30:48 AM,5/21/2016 8:15:42 AM
5/21/2016 12:16:56 PM,DAY,BURGLARY,OTHERS,2100 - 2149 BLOCK OF YOUNG STREET SE,6,607,8,8A,Cluster 34,007601 1,007601,Precinct 133,16081050,402073,133900,5/21/2016 3:30:06 AM,5/21/2016 9:00:55 AM
5/21/2016 1:29:16 PM,DAY,THEFT F/AUTO,OTHERS,2021 - 2199 BLOCK OF 38TH STREET SE,6,606,7,7B,Cluster 35,007603 1,007603,Precinct 110,16081132,404146,132873,5/21/2016 11:38:42 AM,5/21/2016 11:50:47 AM
5/21/2016 2:59:02 PM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,3500 - 3599 BLOCK OF A STREET SE,6,603,7,7F,Cluster 32,007708 1,007708,Precinct 132,16081151,403908,135661,5/21/2016 1:15:39 PM,5/21/2016 2:00:54 PM
5/28/2016 5:31:09 AM,MIDNIGHT,THEFT/OTHER,OTHERS,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,6,602,7,7F,Cluster 30,007803 1,007803,Precinct 99,16085632,404541,136535,5/28/2016 5:02:41 AM,5/28/2016 5:30:08 AM
5/28/2016 8:38:00 AM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,2300 2399  BLOCK OF PENNSYLVANIA AVENUE SE,6,605,7,7B,Cluster 34,007601 1,007601,Precinct 111,16085649,402423,134032,5/28/2016 5:53:51 AM,5/28/2016 8:00:48 AM
5/28/2016 9:22:33 PM,EVENING,THEFT/OTHER,OTHERS,4900 - 4999 BLOCK OF A STREET SE,6,604,7,7E,Cluster 33,009904 1,009904,Precinct 104,16085910,405967,135594,5/27/2016 11:50:00 PM,5/28/2016 9:00:54 AM
5/6/2016 11:28:35 AM,DAY,MOTOR VEHICLE THEFT,OTHERS,4900 - 4999 BLOCK OF EADS PLACE NE,6,602,7,7C,Cluster 31,007804 2,007804,Precinct 97,16071520,405998,136419,5/5/2016 9:30:14 PM,5/6/2016 8:00:51 AM
5/6/2016 5:19:15 PM,EVENING,BURGLARY,OTHERS,4400 - 4599 BLOCK OF GAULT PLACE NE,6,602,7,7C,Cluster 30,007804 1,007804,Precinct 98,16071719,405387,136802,5/1/2016 10:00:03 PM,5/6/2016 5:00:12 PM
5/6/2016 11:26:58 PM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,5000 - 5021 BLOCK OF MEADE STREET NE,6,602,7,7C,Cluster 31,007806 1,007806,Precinct 93,16071723,406148,137581,5/6/2016 3:55:22 PM,5/6/2016 4:05:07 PM
4/29/2016 12:27:04 AM,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,5000 - 5099 BLOCK OF SOUTHERN AVENUE SE,6,604,7,7E,Cluster 33,007707 1,007707,Precinct 106,16067009,406033,134292,4/28/2016 9:15:56 PM,4/28/2016 10:00:42 PM
4/29/2016 12:25:47 PM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,3500 - 3899 BLOCK OF JAY STREET NE,6,601,7,7D,Cluster 30,009602 1,009602,Precinct 100,16067219,404579,137347,4/29/2016 9:03:45 AM,4/29/2016 12:00:45 PM
4/30/2016 5:04:11 AM,MIDNIGHT,THEFT/OTHER,OTHERS,4400 4499  BLOCK OF BENNING ROAD NE,6,603,7,7D,Cluster 32,009603 1,009603,Precinct 102,16067674,405327,135921,4/30/2016 12:53:50 AM,4/30/2016 1:05:23 AM
4/30/2016 4:44:50 AM,MIDNIGHT,THEFT/OTHER,OTHERS,3900 - 3919 BLOCK OF BENNING ROAD NE,6,602,7,7F,Cluster 30,009603 2,009603,Precinct 102,16067714,404459,136336,4/30/2016 1:48:24 AM,4/30/2016 2:10:25 AM
4/30/2016 1:11:11 PM,DAY,ROBBERY,OTHERS,4038 - 4109 BLOCK OF ALABAMA AVENUE SE,6,605,7,7B,Cluster 34,009902 1,009902,Precinct 110,16067889,404838,133646,4/30/2016 10:41:48 AM,4/30/2016 10:50:02 AM
4/30/2016 2:45:43 PM,DAY,ASSAULT W/DANGEROUS WEAPON,KNIFE,4000 - 4199 BLOCK OF HAYES STREET NE,6,602,7,7D,Cluster 30,007803 1,007803,Precinct 99,16067952,404862,136877,4/30/2016 1:30:26 PM,4/30/2016 1:36:30 PM
5/2/2016 12:45:25 PM,DAY,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF 28TH STREET SE,6,605,7,7B,Cluster 34,007709 2,007709,Precinct 111,16069031,402796,133994,5/1/2016 11:00:17 AM,5/2/2016 11:30:00 AM
4/30/2016 5:17:36 PM,EVENING,THEFT F/AUTO,OTHERS,2300 - 2329 BLOCK OF PARK PLACE SE,6,607,8,8A,Cluster 34,007601 2,007601,Precinct 133,16068064,402381,133745,4/25/2016 5:00:06 PM,4/30/2016 5:00:32 PM
4/30/2016 10:57:04 PM,EVENING,THEFT/OTHER,OTHERS,4400 - 4599 BLOCK OF GAULT PLACE NE,6,602,7,7C,Cluster 30,007804 1,007804,Precinct 98,16068094,405387,136802,4/29/2016 8:00:06 PM,4/30/2016 5:00:10 PM
4/30/2016 11:07:18 PM,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,1100 - 1199 BLOCK OF 50TH STREET NE,6,602,7,7C,Cluster 31,007806 1,007806,Precinct 93,16068200,406194,137503,4/30/2016 3:00:01 PM,4/30/2016 9:00:43 PM
5/1/2016 12:08:00 AM,MIDNIGHT,THEFT/OTHER,OTHERS,2585 2649  BLOCK OF NAYLOR ROAD SE,6,606,8,8B,Cluster 35,007605 2,007605,Precinct 134,16068258,402595,132803,4/30/2016 11:00:51 PM,4/30/2016 11:55:11 PM
5/1/2016 1:33:21 AM,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,500 - 599 BLOCK OF 61ST STREET NE,6,608,7,7C,Cluster 31,007807 1,007807,Precinct 95,16068309,407499,136456,4/30/2016 11:50:40 PM,5/1/2016 12:50:07 AM
5/1/2016 4:36:07 AM,MIDNIGHT,BURGLARY,OTHERS,3800 - 3899 BLOCK OF EAST CAPITOL STREET,6,601,7,7D,Cluster 32,009604 1,009604,Precinct 101,16068400,403519,135791,4/30/2016 2:29:08 AM,5/1/2016 4:36:01 AM
5/1/2016 4:34:59 PM,EVENING,THEFT/OTHER,OTHERS,1500 - 1599 BLOCK OF 19TH STREET SE,6,607,8,8A,Cluster 34,007601 3,007601,Precinct 140,16068586,401965,133728,5/1/2016 2:58:03 PM,5/1/2016 3:41:27 PM
5/1/2016 8:31:52 PM,EVENING,MOTOR VEHICLE THEFT,OTHERS,3400 3752  BLOCK OF HAYES STREET NE,6,601,7,7D,Cluster 30,009602 2,009602,Precinct 100,16068606,404085,137618,5/1/2016 3:35:18 PM,5/1/2016 5:19:53 PM
5/1/2016 8:15:29 PM,EVENING,MOTOR VEHICLE THEFT,OTHERS,1400 - 1599 BLOCK OF FORT DAVIS STREET SE,6,605,7,7B,Cluster 34,009902 2,009902,Precinct 110,16068633,404636,133452,5/1/2016 4:34:10 PM,5/1/2016 5:03:08 PM
5/2/2016 1:46:20 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,4600 - 4799 BLOCK OF HUNT PLACE NE,6,602,7,7C,Cluster 31,007809 2,007809,Precinct 94,16068700,405623,136980,5/1/2016 12:00:41 AM,5/1/2016 4:00:33 AM
5/1/2016 9:41:07 PM,EVENING,BURGLARY,OTHERS,2400 - 2499 BLOCK OF 34TH STREET SE,6,606,7,7B,Cluster 35,007603 3,007603,Precinct 110,16068727,403682,132460,5/1/2016 6:55:02 PM,5/1/2016 9:35:26 PM
5/1/2016 11:52:00 PM,MIDNIGHT,THEFT/OTHER,OTHERS,5000 - 5069 BLOCK OF BENNING ROAD SE,6,604,7,7E,Cluster 33,007707 1,007707,Precinct 106,16068807,405964,134419,5/1/2016 10:37:34 PM,5/1/2016 11:51:59 PM
5/6/2016 7:17:51 AM,DAY,THEFT F/AUTO,OTHERS,1 - 99 BLOCK OF ANACOSTIA ROAD NE,6,603,7,7F,Cluster 32,009603 2,009603,Precinct 102,16068993,404221,135910,5/1/2016 10:50:53 PM,5/2/2016 9:00:44 AM
5/2/2016 10:40:58 PM,EVENING,THEFT/OTHER,OTHERS,3400 3499  BLOCK OF BENNING ROAD NE,6,601,7,7D,Cluster 32,009604 2,009604,Precinct 101,16069151,403803,136496,5/2/2016 3:20:17 PM,5/2/2016 3:25:44 PM
5/2/2016 7:18:42 PM,EVENING,THEFT/OTHER,OTHERS,300 - 499 BLOCK OF 40TH STREET NE,6,603,7,7F,Cluster 32,009603 2,009603,Precinct 102,16069247,404600,136168,5/2/2016 5:49:10 PM,5/2/2016 5:55:35 PM
5/2/2016 10:03:45 PM,EVENING,THEFT/OTHER,OTHERS,5300 - 5499 BLOCK OF DRAKE PLACE SE,6,604,7,7E,Cluster 33,009905 3,009905,Precinct 105,16069364,406466,134968,4/27/2016 6:40:38 PM,5/2/2016 7:46:27 PM
5/3/2016 7:45:01 AM,DAY,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF CLAY TERRACE NE,6,608,7,7C,Cluster 31,007808 1,007808,Precinct 96,16069505,406577,136220,5/3/2016 6:27:27 AM,5/3/2016 7:11:23 AM
5/3/2016 2:37:00 PM,DAY,ROBBERY,OTHERS,4200 - 4399 BLOCK OF BROOKS STREET NE,6,602,7,7D,Cluster 30,007803 4,007803,Precinct 99,16069571,405126,136202,5/3/2016 8:30:48 AM,5/3/2016 9:00:55 AM
5/3/2016 1:17:04 PM,DAY,ROBBERY,GUN,200 - 239 BLOCK OF KENILWORTH AVENUE NE,6,601,7,7D,Cluster 32,009604 1,009604,Precinct 101,16069605,403779,136044,5/3/2016 10:12:33 AM,5/3/2016 1:16:55 PM
5/3/2016 12:49:36 PM,DAY,THEFT/OTHER,OTHERS,916 - 933 BLOCK OF EASTERN AVENUE NE,6,608,7,7C,Cluster 31,007807 2,007807,Precinct 95,16069619,406774,137203,4/29/2016 4:00:38 PM,4/30/2016 11:30:24 AM
5/3/2016 12:00:00 AM,MIDNIGHT,HOMICIDE,OTHERS,4200 - 4399 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,6,602,7,7D,Cluster 30,007803 1,007803,Precinct 99,16069645,405127,137046,5/3/2016 10:29:52 AM,5/3/2016 1:07:34 PM
5/4/2016 12:02:40 PM,DAY,THEFT/OTHER,OTHERS,4510 - 4549 BLOCK OF BENNING ROAD SE,6,604,7,7E,Cluster 33,009906 1,009906,Precinct 103,16069708,405443,135696,5/2/2016 6:45:56 PM,5/2/2016 6:48:02 PM
5/3/2016 7:26:01 PM,EVENING,ROBBERY,OTHERS,3900 - 3903 BLOCK OF MINNESOTA AVENUE NE,6,603,7,7F,Cluster 32,009603 3,009603,Precinct 102,16069867,404308,136189,5/3/2016 4:40:25 PM,5/3/2016 5:00:31 PM
