REPORT_DATE,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
2016-03-01 10:02:14,DAY,THEFT F/AUTO,OTHERS,912 - 945 BLOCK OF FLORIDA AVENUE NW,3,305,1,1B,Cluster 3,004400 1,004400,Precinct 22,16031452,397863,138991,2/29/2016 9:18:49 AM,3/1/2016 9:18:56 AM
2016-03-01 11:30:01,DAY,BURGLARY,OTHERS,1004 - 1099 BLOCK OF 7TH STREET NW,3,308,2,2F,Cluster 8,004902 2,004902,Precinct 129,16031473,398099,137299,3/1/2016 3:50:03 AM,3/1/2016 3:54:54 AM
2016-03-01 11:31:08,DAY,THEFT/OTHER,OTHERS,1800 - 1899 BLOCK OF 7TH STREET NW,3,306,1,1B,Cluster 3,004400 2,004400,Precinct 137,16031497,398099,138551,3/1/2016 10:15:12 AM,3/1/2016 10:30:05 AM
2016-03-01 15:06:07,EVENING,THEFT F/AUTO,OTHERS,1600 - 1618 BLOCK OF 17TH STREET NW,3,301,2,2B,Cluster 6,005301 4,005301,Precinct 15,16031616,396662,138182,3/1/2016 1:07:37 PM,3/1/2016 2:20:58 PM
2016-03-01 16:23:17,EVENING,THEFT/OTHER,OTHERS,700 - 799 BLOCK OF O STREET NW,3,308,6,6E,Cluster 7,004902 1,004902,Precinct 18,16031631,398054,137856,3/1/2016 2:40:50 PM,3/1/2016 3:35:48 PM
2016-03-01 18:55:40,EVENING,THEFT/OTHER,OTHERS,1800 - 1819 BLOCK OF 18TH STREET NW,3,301,2,2B,Cluster 6,004202 2,004202,Precinct 14,16031781,396386,138511,2/28/2016 5:33:17 PM,3/1/2016 6:55:38 PM
2016-03-01 19:31:47,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF FAIRMONT STREET NW,3,304,1,1B,Cluster 2,003600 2,003600,Precinct 36,16031808,397313,139653,3/1/2016 5:54:28 PM,3/1/2016 7:10:35 PM
2016-03-01 19:45:36,EVENING,THEFT/OTHER,OTHERS,3100 - 3299 BLOCK OF 14TH STREET NW,3,302,1,1A,Cluster 2,003000 1,003000,Precinct 39,16031818,397162,140182,3/1/2016 7:05:26 PM,3/1/2016 7:20:32 PM
2016-03-01 20:21:30,EVENING,THEFT F/AUTO,OTHERS,1701 - 1719 BLOCK OF 10TH STREET NW,3,307,6,6E,Cluster 7,004901 1,004901,Precinct 21,16031694,397745,138345,3/1/2016 8:00:42 AM,3/1/2016 4:00:55 PM
2016-03-01 21:34:18,EVENING,THEFT F/AUTO,OTHERS,1200 - 1247 BLOCK OF FLORIDA AVENUE NW,3,305,1,1B,Cluster 3,004400 1,004400,Precinct 22,16031891,397532,139201,3/1/2016 7:00:52 PM,3/1/2016 9:30:08 PM
2016-03-01 22:45:48,EVENING,THEFT F/AUTO,OTHERS,1325 - 1399 BLOCK OF PARK ROAD NW,3,302,1,1A,Cluster 2,003000 1,003000,Precinct 39,16029204,397241,140302,2/26/2016 11:14:51 AM,2/26/2016 12:13:24 PM
2016-03-02 00:01:01,MIDNIGHT,THEFT/OTHER,OTHERS,1100 - 1199 BLOCK OF 14TH STREET NW,3,307,2,2F,Cluster 8,010100 1,010100,Precinct 17,16031952,397228,137406,2/29/2016 1:30:51 PM,3/1/2016 11:45:34 PM
2016-03-02 02:35:00,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,1600 - 1699 BLOCK OF R STREET NW,3,301,2,2B,Cluster 6,005301 4,005301,Precinct 15,16032006,396747,138305,3/2/2016 1:29:58 AM,3/2/2016 1:32:53 AM
2016-03-02 05:09:56,MIDNIGHT,THEFT F/AUTO,OTHERS,1800 - 1827 BLOCK OF 9TH STREET NW,3,305,1,1B,Cluster 3,004400 2,004400,Precinct 137,16031938,397921,138510,3/1/2016 8:00:53 PM,3/1/2016 11:16:33 PM
2016-03-02 05:15:12,MIDNIGHT,THEFT F/AUTO,OTHERS,1700 - 1709 BLOCK OF 9TH STREET NW,3,307,6,6E,Cluster 7,004901 1,004901,Precinct 21,16031963,397921,138345,3/1/2016 10:30:24 PM,3/1/2016 11:30:29 PM
2016-03-02 09:28:19,DAY,THEFT/OTHER,OTHERS,1100 - 1299 BLOCK OF COLUMBIA ROAD NW,3,302,1,1A,Cluster 2,003000 2,003000,Precinct 36,16032093,397529,139979,3/2/2016 8:32:25 AM,3/2/2016 9:20:17 AM
