REPORT_DATE,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
2016-03-01 01:49:36,MIDNIGHT,THEFT F/AUTO,OTHERS,1500 - 1523 BLOCK OF 15TH STREET NW,2,208,2,2B,Cluster 6,005201 2,005201,Precinct 16,16031360,397002,138017,2/29/2016 9:00:49 PM,3/1/2016 12:01:20 AM
2016-03-01 09:03:47,DAY,THEFT/OTHER,OTHERS,2731 - 2899 BLOCK OF CONNECTICUT AVENUE NW,2,204,3,3C,Cluster 15,000502 1,000502,Precinct 26,16400342,395341,139940,1/19/2016 8:00:09 PM,1/27/2016 8:20:22 PM
2016-03-01 10:44:19,DAY,THEFT F/AUTO,OTHERS,5210 - 5299 BLOCK OF LOUGHBORO ROAD NW,2,205,3,3D,Cluster 13,000901 1,000901,Precinct 8,16031478,390546,140878,2/29/2016 8:00:14 PM,3/1/2016 10:00:07 AM
2016-03-01 12:39:24,DAY,THEFT/OTHER,OTHERS,1 - 7 BLOCK OF DUPONT CIRCLE NW,2,208,2,2B,Cluster 6,005500 5,005500,Precinct 14,16031536,396171,137945,3/1/2016 11:41:33 AM,3/1/2016 12:00:19 PM
2016-03-01 14:21:55,DAY,THEFT/OTHER,OTHERS,3200 - 3265 BLOCK OF PROSPECT STREET NW,2,206,2,2E,Cluster 4,000202 3,000202,Precinct 6,16031581,394446,137573,10/5/2015 1:48:26 PM,2/16/2016 2:21:52 PM
2016-03-01 16:54:20,EVENING,THEFT F/AUTO,OTHERS,1700 - 1799 BLOCK OF P STREET NW,2,208,2,2B,Cluster 6,005301 3,005301,Precinct 15,16031589,396523,137976,3/1/2016 11:45:05 AM,3/1/2016 12:45:42 PM
2016-03-01 16:55:01,EVENING,THEFT F/AUTO,OTHERS,900 - 999 BLOCK OF 15TH STREET NW,2,207,2,2F,Cluster 8,010100 1,010100,Precinct 129,16031686,397082,137119,3/1/2016 2:00:28 PM,3/1/2016 2:30:52 PM
2016-03-01 17:27:50,EVENING,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF CHURCH STREET NW,2,208,2,2F,Cluster 7,005201 4,005201,Precinct 16,16031750,397115,138058,3/1/2016 4:00:08 PM,3/1/2016 5:00:15 PM
2016-03-01 18:41:00,EVENING,ASSAULT W/DANGEROUS WEAPON,KNIFE,4500 - 4599 BLOCK OF 40TH STREET NW,2,202,3,3E,Cluster 11,001100 4,001100,Precinct 32,16031692,393173,142324,3/1/2016 3:20:32 PM,3/1/2016 4:30:41 PM
2016-03-01 18:57:20,EVENING,THEFT F/AUTO,OTHERS,1612 - 1699 BLOCK OF 18TH STREET NW,2,208,2,2B,Cluster 6,004202 1,004202,Precinct 14,16031627,396386,138264,3/1/2016 2:44:28 PM,3/1/2016 4:07:07 PM
2016-03-01 22:15:55,EVENING,THEFT F/AUTO,OTHERS,1613 - 1699 BLOCK OF 21ST STREET NW,2,208,2,2B,Cluster 6,005500 1,005500,Precinct 14,16031643,395955,138264,3/1/2016 1:30:41 PM,3/1/2016 3:15:54 PM
2016-03-02 03:29:49,MIDNIGHT,THEFT F/AUTO,OTHERS,2000 - 2099 BLOCK OF K STREET NW,2,207,2,2A,Cluster 6,010700 1,010700,Precinct 2,16031997,396029.60,137186.52,3/1/2016 11:00:51 PM,3/2/2016 1:39:49 AM
2016-03-02 07:00:59,MIDNIGHT,THEFT F/AUTO,OTHERS,4540 - 4599 BLOCK OF 42ND STREET NW,2,202,3,3E,Cluster 11,001001 2,001001,Precinct 31,16027595,392888,142375,2/23/2016 1:00:43 PM,2/23/2016 2:10:32 PM
2016-03-02 08:08:09,DAY,THEFT F/AUTO,OTHERS,2000 - 2099 BLOCK OF Q STREET NW,2,208,2,2B,Cluster 6,005500 1,005500,Precinct 14,16031612,396031,138141,3/1/2016 2:00:23 PM,3/1/2016 2:25:15 PM
2016-03-02 08:49:50,DAY,THEFT F/AUTO,OTHERS,3500 - 3599 BLOCK OF 30TH STREET NW,2,203,3,3C,Cluster 15,000600 4,000600,Precinct 27,16032076,394704,140957,3/2/2016 7:48:20 AM,
2016-03-02 11:08:42,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF 18TH STREET NW,2,208,2,2B,Cluster 6,010700 2,010700,Precinct 14,16032153,396385,137809,3/2/2016 8:10:09 AM,3/2/2016 9:00:35 AM
2016-03-02 11:54:11,DAY,THEFT F/AUTO,OTHERS,2100 - 2199 BLOCK OF P STREET NW,2,208,2,2B,Cluster 6,005500 4,005500,Precinct 14,16032177,395861,137976,2/29/2016 10:30:39 PM,3/2/2016 10:30:03 AM
2016-03-02 12:30:33,DAY,THEFT/OTHER,OTHERS,1000 - 1099 BLOCK OF 16TH STREET NW,2,207,2,2B,Cluster 6,010700 1,010700,Precinct 17,16032194,396830,137253,3/1/2016 5:39:49 PM,3/2/2016 9:00:25 AM
2016-03-02 13:07:10,DAY,THEFT F/AUTO,OTHERS,1000 - 1039 BLOCK OF POTOMAC STREET NW,2,206,2,2E,Cluster 4,000202 4,000202,Precinct 6,16032110,394361,137299,3/1/2016 9:00:15 PM,3/2/2016 9:28:16 AM
2016-03-02 13:21:15,DAY,THEFT F/AUTO,OTHERS,3300  - 3399 BLOCK OF STEPHENSON PLACE NW,2,201,4,3G,Cluster 10,001500 5,001500,Precinct 51,16032192,394036,144819,3/2/2016 11:44:23 AM,3/2/2016 11:45:50 AM
2016-03-02 13:48:54,DAY,THEFT F/AUTO,OTHERS,3600 - 3699 BLOCK OF MACOMB STREET NW,2,204,3,3C,Cluster 15,000600 3,000600,Precinct 27,16032222,393787,140624,3/2/2016 12:20:29 PM,3/2/2016 1:00:16 PM
2016-03-02 13:56:44,DAY,THEFT F/AUTO,OTHERS,4500 - 4599 BLOCK OF LOWELL STREET NW,2,205,3,3D,Cluster 13,000801 3,000801,Precinct 10,16032231,392209,140507,3/2/2016 10:30:20 AM,3/2/2016 1:15:35 PM
2016-03-02 15:24:14,EVENING,THEFT F/AUTO,OTHERS,3300 - 3399 BLOCK OF 36TH STREET NW,2,203,3,3C,Cluster 15,000600 3,000600,Precinct 27,16032253,393854,140688,3/2/2016 12:30:17 PM,3/2/2016 1:10:22 PM
2016-03-02 15:40:04,EVENING,THEFT F/AUTO,OTHERS,1300 - 1321 BLOCK OF 15TH STREET NW,2,208,2,2B,Cluster 6,005201 2,005201,Precinct 17,16032282,397002,137748,3/2/2016 10:00:06 AM,3/2/2016 3:00:01 PM
2016-03-02 15:54:33,EVENING,THEFT/OTHER,OTHERS,1100 - 1199 BLOCK OF 15TH STREET NW,2,207,2,2B,Cluster 6,010100 2,010100,Precinct 17,16400412,397001,137426,1/11/2016 9:00:38 PM,1/11/2016 11:00:51 PM
2016-03-02 15:55:33,EVENING,THEFT/OTHER,OTHERS,1600 - 1699 BLOCK OF K STREET NW,2,207,2,2B,Cluster 6,010700 1,010700,Precinct 17,16032260,396744.98,137186.27,3/1/2016 10:15:43 AM,3/1/2016 10:17:44 AM
2016-03-02 17:02:28,EVENING,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF P STREET NW,2,208,2,2F,Cluster 7,005201 3,005201,Precinct 16,16032303,397115,137977,3/2/2016 3:52:06 PM,3/2/2016 3:57:08 PM
2016-03-02 18:40:39,EVENING,THEFT/OTHER,OTHERS,5200 - 5223 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,001001,Precinct 31,16032412,392713,143294,3/2/2016 6:00:02 PM,3/2/2016 6:05:45 PM
2016-03-02 20:07:15,EVENING,THEFT F/AUTO,OTHERS,2900 - 2999 BLOCK OF ORDWAY STREET NW,2,203,3,3C,Cluster 15,000600 2,000600,Precinct 27,16032465,394757,140866,3/2/2016 8:00:11 AM,3/2/2016 7:30:06 PM
2016-03-02 20:54:52,EVENING,THEFT F/AUTO,OTHERS,3400 - 3499 BLOCK OF RODMAN STREET NW,2,203,3,3C,Cluster 15,000600 4,000600,Precinct 27,16032475,394129,141246,3/1/2016 10:00:29 PM,3/2/2016 10:00:47 AM
2016-03-02 21:38:14,EVENING,THEFT F/AUTO,OTHERS,1500 - 1599 BLOCK OF NEW HAMPSHIRE AVENUE NW,2,208,2,2B,Cluster 6,004202 1,004202,Precinct 14,16032502,396312,138086,3/2/2016 8:15:25 PM,3/2/2016 9:15:10 PM
2016-03-02 21:45:42,EVENING,THEFT/OTHER,OTHERS,3200 - 3275 BLOCK OF M STREET NW,2,206,2,2E,Cluster 4,000202 4,000202,Precinct 6,16032472,394449,137479,3/2/2016 8:12:13 PM,3/2/2016 9:01:39 PM
2016-03-02 21:49:54,EVENING,THEFT/OTHER,OTHERS,3036 - 3099 BLOCK OF M STREET NW,2,206,2,2E,Cluster 4,000100 4,000100,Precinct 5,16032330,394737,137483,3/2/2016 4:50:34 PM,3/2/2016 5:45:57 PM
2016-03-02 21:52:43,EVENING,THEFT/OTHER,OTHERS,1200 - 1237 BLOCK OF WISCONSIN AVENUE NW,2,206,2,2E,Cluster 4,000202 3,000202,Precinct 6,16032355,394550,137528,3/2/2016 4:40:29 PM,3/2/2016 4:41:09 PM
2016-03-02 22:02:38,EVENING,THEFT F/AUTO,OTHERS,1700 - 1799 BLOCK OF 20TH STREET NW,2,208,2,2B,Cluster 6,004202 2,004202,Precinct 14,16032516,396108,138387,3/2/2016 8:30:22 PM,3/2/2016 9:30:18 PM
2016-03-02 22:15:38,EVENING,THEFT F/AUTO,OTHERS,1300 - 1379 BLOCK OF 20TH STREET NW,2,208,2,2B,Cluster 6,010700 2,010700,Precinct 14,16032512,396106,137755,3/2/2016 7:00:48 PM,3/2/2016 9:15:00 PM
2016-03-02 22:33:16,EVENING,THEFT F/AUTO,OTHERS,1800 - 1899 BLOCK OF N STREET NW,2,208,2,2B,Cluster 6,010700 2,010700,Precinct 17,16032523,396291,137710,3/2/2016 9:05:04 PM,3/2/2016 9:50:13 PM
2016-03-02 22:44:32,EVENING,THEFT/OTHER,OTHERS,4100 - 4199 BLOCK OF MASSACHUSETTS AVENUE NW,2,205,3,3D,Cluster 14,000801 1,000801,Precinct 10,16032525,392994,140703,3/2/2016 7:00:25 AM,3/2/2016 10:44:01 PM
2016-03-02 23:21:59,MIDNIGHT,THEFT/OTHER,OTHERS,1700 - 1799 BLOCK OF P STREET NW,2,208,2,2B,Cluster 6,005301 3,005301,Precinct 15,16032542,396523,137976,3/2/2016 1:00:05 PM,3/2/2016 10:15:33 PM
2016-03-02 23:39:33,MIDNIGHT,THEFT F/AUTO,OTHERS,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,2,208,2,2B,Cluster 6,005500 1,005500,Precinct 14,16032532,396217.89,138008.23,3/2/2016 7:00:16 PM,3/2/2016 10:00:43 PM
2016-03-03 02:16:12,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,4585 - 4699 BLOCK OF MACARTHUR BOULEVARD NW,2,205,3,3D,Cluster 13,000802 1,000802,Precinct 7,16032599,392220,138193,2/18/2016 12:16:03 AM,3/3/2016 2:16:10 AM
2016-03-03 07:04:21,DAY,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF P STREET NW,2,208,2,2F,Cluster 7,005201 3,005201,Precinct 16,16031532,397115,137977,3/1/2016 11:16:54 AM,3/1/2016 12:34:32 PM
2016-03-03 10:21:23,DAY,THEFT/OTHER,OTHERS,3530 - 3599 BLOCK OF EDMUNDS STREET NW,2,204,3,3C,Cluster 14,000400 1,000400,Precinct 12,16032697,393897,139649,3/2/2016 4:50:22 PM,3/2/2016 4:53:39 PM
2016-03-03 10:31:41,DAY,THEFT/OTHER,OTHERS,2100 - 2199 BLOCK OF PENNSYLVANIA AVENUE NW,2,207,2,2A,Cluster 5,010800 1,010800,Precinct 2,16032700,395858,137094,3/2/2016 1:35:43 PM,3/2/2016 4:32:39 PM
2016-03-03 10:48:54,DAY,THEFT/OTHER,OTHERS,2731 - 2899 BLOCK OF CONNECTICUT AVENUE NW,2,204,3,3C,Cluster 15,000502 1,000502,Precinct 26,16400388,395341,139940,2/13/2016 4:15:32 PM,2/13/2016 5:15:51 PM
2016-03-03 11:10:54,DAY,THEFT F/AUTO,OTHERS,1700 - 1799 BLOCK OF 20TH STREET NW,2,208,2,2B,Cluster 6,004202 2,004202,Precinct 14,16400389,396108,138387,2/17/2016 5:44:24 PM,2/17/2016 6:00:40 PM
2016-03-03 12:00:31,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF 14TH STREET NW,2,208,2,2F,Cluster 7,005201 3,005201,Precinct 17,16032730,397228,137798,2/28/2016 2:00:53 PM,2/29/2016 9:00:24 AM
2016-03-03 14:15:59,DAY,THEFT F/AUTO,OTHERS,4900 - 4909 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 2,001001,Precinct 31,16400405,392886,142856,11/8/2015 3:30:03 AM,11/8/2015 3:45:38 AM
2016-03-04 05:54:48,MIDNIGHT,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF I STREET NW,2,207,2,2C,Cluster 8,010100 1,010100,Precinct 129,16033176,397154,137053,3/3/2016 10:00:20 PM,3/4/2016 2:00:32 AM
