PSA,COUNT,VARIANCE,RELATIVE
605,1.0,0,0
308,1.0,0,0
607,2.0,0,0
606,1.0,0,0
601,0.0,0,0
603,0.0,0,0
604,0.0,0,0
704,2.0,0,0
705,1.0,0,0
706,3.0,0,0
707,1.0,0,0
608,2.0,0,0
702,0.0,0,0
703,1.0,0,0
708,2.0,0,0
602,1.0,0,0
407,1.0,0,0
406,0.0,0,0
405,0.0,0,0
404,0.0,0,0
403,1.0,0,0
402,0.0,0,0
401,0.0,0,0
301,0.0,0,0
506,0.0,0,0
507,2.0,0,0
504,1.0,0,0
505,0.0,0,0
502,1.0,0,0
503,0.0,0,0
409,0.0,0,0
501,0.0,0,0
201,0.0,0,0
203,0.0,0,0
202,0,0,0
205,0.0,0,0
204,0.0,0,0
207,2.0,0,0
206,0.0,0,0
208,1.0,0,0
302,0.0,0,0
303,0.0,0,0
304,0.0,0,0
305,0.0,0,0
306,0.0,0,0
307,0.0,0,0
108,0.0,0,0
102,0.0,0,0
103,1.0,0,0
101,0.0,0,0
106,0.0,0,0
107,0.0,0,0
104,0.0,0,0
105,2.0,0,0
701,0.0,0,0
408,0.0,0,0
