PSA,COUNT,VARIANCE,RELATIVE
605,0.0,0,0
308,0.0,0,0
607,0.0,0,0
606,0.0,0,0
601,0.0,0,0
603,0.0,0,0
604,0.0,0,0
704,0.0,0,0
705,1.0,0,0
706,0.0,0,0
707,0.0,0,0
608,0.0,0,0
702,0.0,0,0
703,1.0,0,0
708,0.0,0,0
602,1.0,0,0
407,0.0,0,0
406,1.0,0,0
405,0.0,0,0
404,0.0,0,0
403,0.0,0,0
402,0.0,0,0
401,0.0,0,0
301,0.0,0,0
506,0.0,0,0
507,0.0,0,0
504,0.0,0,0
505,0.0,0,0
502,2.0,0,0
503,1.0,0,0
409,1.0,0,0
501,0.0,0,0
201,0.0,0,0
203,0.0,0,0
202,0.0,0,0
205,0.0,0,0
204,0.0,0,0
207,1.0,0,0
206,1.0,0,0
208,4.0,0,0
302,1.0,0,0
303,3.0,0,0
304,1.0,0,0
305,0.0,0,0
306,0.0,0,0
307,1.0,0,0
108,1.0,0,0
102,1.0,0,0
103,0.0,0,0
101,0,0,0
106,0.0,0,0
107,0.0,0,0
104,1.0,0,0
105,0.0,0,0
701,1.0,0,0
408,0.0,0,0
