PSA,COUNT,VARIANCE,RELATIVE
605,0,0,0
308,0,0,0
607,0,0,0
606,0,0,0
601,0.0025279561424105187,0.86567697401471433,-2.5447000911649349
603,0.0039980873588262586,0.81404374542203461,-2.4686719663031562
604,0.0050869431016391884,0.80924287172512388,-2.4039877907908238
704,0.0034811069513882666,0.8565236933936653,-2.5170105365285429
705,0,0,0
706,0.0033766052787134282,0.8802954111132677,-2.4540999292975094
707,0,0,0
608,0,0,0
702,0.0023717441795261642,0.86968506407109469,-2.5526844446165757
703,0.0027972509324672053,0.83781763644636786,-2.5695968732824186
708,0.0039955801173256651,0.89043972180614617,-2.455993691009791
602,0.0033185319721212377,0.82580879744362701,-2.5195441594212937
407,0,0,0
406,0,0,0
405,0,0,0
404,0,0,0
403,0,0,0
402,0,0,0
401,0,0,0
301,0,0,0
506,0.0031284524612425215,1.0191353724705741,-2.3543994079134141
507,0,0,0
504,0,0,0
505,0,0,0
502,0.0047054774217793255,1.0972312150216783,-2.3169240553343471
503,0,0,0
409,0.0042524414367562935,1.0797946298722541,-2.3274121622924633
501,0.0036325900764110535,1.0974249662914961,-2.3166748550120824
201,0,0,0
203,0,0,0
202,0,0,0
205,0,0,0
204,0,0,0
207,0,0,0
206,0,0,0
208,0,0,0
302,0.0053831337288628434,1.016645652797787,-2.3346366732951571
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
108,0.0061304497853511752,1.081195454692093,-2.3494658623520386
102,0,0,0
103,0,0,0
101,0,0,0
106,0,0,0
107,0,0,0
104,0,0,0
105,0,0,0
701,0.0037388748783490099,1.0194776869988551,-2.4305037357943116
408,0,0,0
