REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
5/14/2016 4:07:09 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF 5TH STREET NE,5,506,5,5D,Cluster 23,008803 1,008803,Precinct 76,16076472,400212,137949,5/14/2016 12:40:20 AM,5/14/2016 12:45:28 AM
5/14/2016 4:40:29 AM,MIDNIGHT,BURGLARY,OTHERS,2000 - 2099 BLOCK OF SHEPHERD STREET NE,5,503,5,5B,Cluster 24,009400 4,009400,Precinct 69,16076540,402105,141307,5/14/2016 1:00:00 AM,5/14/2016 3:30:17 AM
5/14/2016 6:13:53 AM,MIDNIGHT,ROBBERY,OTHERS,1931 - 1999 BLOCK OF MONTANA AVENUE NE,5,505,5,5C,Cluster 23,008804 2,008804,Precinct 76,16076566,402071,138561,5/14/2016 3:00:47 AM,5/14/2016 5:00:41 AM
5/14/2016 12:00:12 PM,DAY,THEFT/OTHER,OTHERS,3600 - 3699 BLOCK OF 12TH STREET NE,5,504,5,5B,Cluster 22,009301 2,009301,Precinct 68,16076641,400770,140681,5/14/2016 10:20:58 AM,5/14/2016 10:35:03 AM
5/14/2016 1:09:50 PM,DAY,MOTOR VEHICLE THEFT,OTHERS,1700 - 1799 BLOCK OF CAPITOL AVENUE NE,5,506,5,5D,Cluster 23,008803 1,008803,Precinct 76,16076690,401106,138047,5/14/2016 2:30:32 AM,5/14/2016 12:00:41 PM
5/21/2016 4:54:04 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,1700 - 1799 BLOCK OF 17TH STREET NE,5,505,5,5C,Cluster 23,008804 2,008804,Precinct 76,16080992,401881,138607,5/21/2016 4:29:41 AM,5/21/2016 4:35:59 AM
5/21/2016 9:30:45 AM,DAY,MOTOR VEHICLE THEFT,OTHERS,1000 - 1199 BLOCK OF PERRY STREET NE,5,504,5,5B,Cluster 20,009504 1,009504,Precinct 68,16081032,400720,140920,5/19/2016 8:00:11 PM,5/19/2016 11:00:40 PM
5/21/2016 1:27:36 PM,DAY,THEFT/OTHER,OTHERS,1100 - 1179 BLOCK OF MICHIGAN AVENUE NE,5,504,5,5B,Cluster 20,009504 1,009504,Precinct 68,16081130,400754,141106,5/21/2016 11:25:24 AM,5/21/2016 12:40:28 PM
5/21/2016 2:12:57 PM,DAY,THEFT/OTHER,OTHERS,1355 - 1399 BLOCK OF DOWNING STREET NE,5,505,5,5C,Cluster 22,009102 2,009102,Precinct 72,16081148,401311,139258,5/21/2016 1:10:25 PM,5/21/2016 2:11:56 PM
5/28/2016 5:52:21 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,1805 - 1999 BLOCK OF RHODE ISLAND AVENUE NE,5,504,5,5C,Cluster 22,011100 2,011100,Precinct 72,16085634,401978,140078,5/28/2016 2:00:50 AM,5/28/2016 3:40:00 AM
