week,PSA,ASSAULT W/DANGEROUS WEAPON
1,104,1
1,106,2
1,202,1
1,208,1
1,301,1
1,303,2
1,304,1
1,307,1
1,404,1
1,406,1
1,407,2
1,408,1
1,409,1
1,502,1
1,503,1
1,505,2
1,506,1
1,507,1
1,602,1
1,603,1
1,608,2
1,701,1
1,702,1
1,703,2
1,704,2
1,705,1
1,706,3
1,707,1
2,101,1
2,106,1
2,206,2
2,208,2
2,302,1
2,303,1
2,304,2
2,305,1
2,403,1
2,501,1
2,502,1
2,503,1
2,504,1
2,505,1
2,506,1
2,507,2
2,602,1
2,603,2
2,604,3
2,606,2
2,607,2
2,608,2
2,701,2
2,702,2
2,703,1
2,704,1
2,705,1
2,706,1
2,707,1
2,708,1
3,103,3
3,108,1
3,202,1
3,204,1
3,207,2
3,301,1
3,401,1
3,403,2
3,404,1
3,405,1
3,409,1
3,501,1
3,502,2
3,503,1
3,505,3
3,506,3
3,507,4
3,601,2
3,602,4
3,603,3
3,604,1
3,703,3
3,705,2
3,707,2
3,708,1
4,102,2
4,103,1
4,105,1
4,106,2
4,108,1
4,202,1
4,208,1
4,302,1
4,304,2
4,306,1
4,307,1
4,401,1
4,402,1
4,404,4
4,405,1
4,501,3
4,502,2
4,505,1
4,506,2
4,507,2
4,601,1
4,602,1
4,604,2
4,607,1
4,608,1
4,701,3
4,703,2
4,705,1
4,706,3
4,707,5
4,708,1
5,103,1
5,104,2
5,105,1
5,106,1
5,108,2
5,206,1
5,208,1
5,301,2
5,303,1
5,304,2
5,305,1
5,401,2
5,402,1
5,403,2
5,405,1
5,501,1
5,503,2
5,506,1
5,507,1
5,601,2
5,602,2
5,603,3
5,604,3
5,605,1
5,606,1
5,608,2
5,701,2
5,704,1
5,705,1
5,706,3
5,708,1
6,101,1
6,102,3
6,103,1
6,107,1
6,108,1
6,202,1
6,203,1
6,302,2
6,304,2
6,305,1
6,307,1
6,405,2
6,409,1
6,505,2
6,506,1
6,507,2
6,601,2
6,602,1
6,604,2
6,701,1
6,702,3
6,703,2
6,704,4
6,706,1
6,708,2
7,101,2
7,103,2
7,104,1
7,106,1
7,108,1
7,302,1
7,303,2
7,402,1
7,403,1
7,407,2
7,501,2
7,502,1
7,503,1
7,504,1
7,505,2
7,506,1
7,507,3
7,602,3
7,603,1
7,604,2
7,605,1
7,607,1
7,608,2
7,701,3
7,702,2
7,703,1
7,704,2
7,705,1
7,706,2
7,708,2
8,103,2
8,104,2
8,108,1
8,207,2
8,303,1
8,306,1
8,403,1
8,404,1
8,502,2
8,503,2
8,504,1
8,505,3
8,506,2
8,507,3
8,602,5
8,604,4
8,605,1
8,607,2
8,608,4
8,701,1
8,703,1
8,704,6
8,707,2
8,708,1
9,102,1
9,104,2
9,105,1
9,106,1
9,205,1
9,302,2
9,304,3
9,305,1
9,404,1
9,407,1
9,502,5
9,503,1
9,505,1
9,506,2
9,507,1
9,601,1
9,602,3
9,603,1
9,604,1
9,701,3
9,702,1
9,703,2
9,704,4
9,705,2
9,706,3
9,707,1
10,102,2
10,103,3
10,105,2
10,106,1
10,201,1
10,202,1
10,208,2
10,301,2
10,302,1
10,305,1
10,306,1
10,403,2
10,406,1
10,407,2
10,409,1
10,501,1
10,502,1
10,503,1
10,504,1
10,505,4
10,506,1
10,507,2
10,601,2
10,602,4
10,603,2
10,607,1
10,608,1
10,701,4
10,702,1
10,703,1
10,705,1
10,707,1
10,708,5
11,102,1
11,103,1
11,104,2
11,105,1
11,108,1
11,207,2
11,208,1
11,301,1
11,302,6
11,307,1
11,401,1
11,402,1
11,406,2
11,407,1
11,409,1
11,501,1
11,502,2
11,503,1
11,505,2
11,506,1
11,507,2
11,602,1
11,603,2
11,604,1
11,605,1
11,606,1
11,607,2
11,608,2
11,702,1
11,703,1
11,704,4
11,705,1
11,706,4
11,708,1
12,103,2
12,105,1
12,106,1
12,107,1
12,205,1
12,207,3
12,302,1
12,305,3
12,404,1
12,405,2
12,406,1
12,501,2
12,503,1
12,506,5
12,507,4
12,601,2
12,603,3
12,607,1
12,608,1
12,701,1
12,703,2
12,704,1
12,705,1
12,706,1
12,707,3
13,102,2
13,103,1
13,104,2
13,108,4
13,202,1
13,301,1
13,302,1
13,304,1
13,306,1
13,307,1
13,401,1
13,403,1
13,501,1
13,502,1
13,506,2
13,507,3
13,601,1
13,602,2
13,603,1
13,605,1
13,607,1
13,608,1
13,701,2
13,702,1
13,703,2
13,704,1
13,705,1
13,706,4
13,707,1
13,708,4
14,103,1
14,104,1
14,106,1
14,207,2
14,208,1
14,304,1
14,402,1
14,404,1
14,503,1
14,504,1
14,505,1
14,507,1
14,603,1
14,605,1
14,703,1
14,704,1
14,707,1
14,708,1
