week,PSA,ROBBERY
1,101,1
1,103,1
1,104,1
1,107,2
1,108,2
1,206,1
1,207,1
1,208,1
1,302,3
1,303,1
1,304,1
1,401,1
1,404,2
1,406,1
1,501,2
1,502,1
1,503,1
1,504,2
1,505,2
1,506,2
1,507,1
1,602,1
1,603,4
1,608,1
1,701,2
1,702,1
1,703,3
1,704,1
1,705,1
1,706,1
1,707,1
1,708,3
2,101,1
2,104,1
2,105,2
2,107,1
2,108,3
2,202,1
2,206,1
2,207,1
2,302,3
2,303,1
2,304,1
2,305,3
2,306,1
2,308,1
2,401,1
2,402,1
2,403,1
2,405,3
2,406,1
2,409,1
2,501,2
2,502,2
2,505,1
2,506,2
2,507,1
2,601,2
2,603,1
2,604,1
2,605,1
2,608,2
2,703,1
2,705,2
2,706,1
2,707,1
3,101,2
3,102,3
3,103,1
3,104,2
3,105,1
3,206,1
3,208,1
3,304,1
3,305,1
3,306,2
3,308,1
3,405,1
3,409,1
3,502,1
3,506,4
3,507,3
3,601,1
3,602,2
3,603,1
3,604,2
3,605,1
3,606,3
3,607,1
3,608,1
3,702,4
3,703,1
3,704,1
3,705,3
3,706,2
4,102,1
4,103,1
4,104,2
4,105,1
4,106,2
4,107,1
4,108,2
4,205,1
4,208,2
4,302,1
4,303,1
4,304,1
4,307,1
4,308,1
4,401,1
4,407,2
4,501,2
4,502,2
4,504,1
4,506,2
4,507,2
4,601,3
4,602,2
4,606,1
4,608,1
4,701,1
4,702,2
4,705,1
4,708,1
5,102,2
5,104,1
5,106,1
5,107,1
5,207,4
5,208,2
5,302,4
5,304,2
5,305,1
5,307,1
5,308,1
5,402,1
5,403,2
5,404,1
5,405,2
5,407,1
5,501,4
5,502,4
5,503,1
5,505,1
5,506,3
5,507,1
5,602,2
5,603,1
5,608,1
5,701,2
5,703,2
5,704,3
5,705,1
5,708,1
6,102,1
6,103,1
6,105,1
6,106,1
6,208,2
6,301,1
6,302,1
6,305,2
6,306,1
6,401,2
6,402,3
6,405,2
6,501,2
6,502,4
6,503,1
6,504,1
6,505,1
6,506,5
6,507,4
6,602,1
6,603,1
6,604,2
6,608,2
6,701,1
6,702,1
6,703,1
6,704,2
6,707,1
6,708,2
7,103,1
7,104,1
7,105,1
7,106,1
7,107,1
7,108,4
7,201,1
7,204,1
7,206,1
7,208,2
7,302,5
7,303,1
7,306,3
7,401,2
7,403,3
7,408,2
7,501,2
7,502,3
7,503,3
7,505,2
7,506,2
7,507,3
7,601,3
7,602,1
7,603,1
7,604,4
7,605,1
7,607,2
7,701,3
7,702,1
7,703,3
7,705,2
7,708,1
8,101,3
8,103,2
8,104,2
8,106,1
8,107,2
8,108,3
8,202,3
8,207,2
8,208,2
8,302,1
8,304,2
8,305,1
8,307,1
8,402,1
8,403,1
8,404,1
8,405,2
8,501,1
8,502,2
8,505,2
8,506,4
8,507,2
8,601,1
8,602,3
8,604,1
8,607,1
8,608,2
8,701,2
8,702,1
8,703,2
8,706,1
8,707,1
8,708,1
9,101,1
9,102,1
9,104,2
9,105,2
9,106,1
9,108,1
9,202,1
9,206,1
9,207,3
9,208,1
9,301,1
9,302,2
9,303,2
9,304,1
9,305,2
9,306,1
9,307,1
9,402,3
9,405,3
9,409,1
9,501,1
9,502,3
9,503,1
9,505,2
9,506,4
9,507,3
9,603,1
9,604,1
9,605,1
9,608,1
9,702,1
9,703,1
9,705,1
9,706,2
9,708,1
10,103,3
10,104,2
10,106,1
10,107,2
10,108,2
10,203,1
10,206,2
10,207,2
10,208,1
10,302,6
10,303,1
10,304,1
10,305,2
10,307,2
10,308,1
10,401,2
10,402,1
10,403,6
10,405,2
10,408,1
10,409,3
10,501,1
10,503,2
10,504,1
10,505,1
10,506,2
10,507,2
10,601,1
10,602,3
10,603,4
10,606,1
10,607,1
10,701,3
10,703,2
10,705,4
10,708,1
11,104,3
11,108,1
11,205,1
11,207,1
11,302,1
11,303,1
11,305,3
11,306,1
11,307,2
11,401,2
11,403,2
11,404,1
11,405,1
11,409,1
11,501,2
11,502,2
11,503,3
11,504,4
11,505,1
11,506,4
11,507,1
11,602,2
11,603,2
11,604,2
11,608,2
11,701,1
11,702,1
11,703,2
11,704,3
11,708,2
12,101,1
12,102,1
12,104,3
12,105,2
12,108,3
12,208,1
12,302,3
12,305,1
12,306,1
12,307,1
12,308,2
12,401,2
12,403,2
12,404,2
12,405,1
12,406,2
12,407,2
12,409,1
12,502,1
12,503,2
12,504,1
12,506,1
12,507,2
12,601,1
12,602,2
12,606,2
12,607,1
12,608,1
12,701,1
12,702,1
12,703,2
12,705,3
13,101,1
13,103,1
13,104,1
13,105,1
13,108,1
13,205,1
13,206,1
13,207,3
13,208,3
13,301,1
13,302,3
13,303,1
13,305,2
13,306,1
13,307,2
13,308,1
13,403,1
13,404,3
13,406,1
13,409,1
13,501,4
13,502,3
13,503,1
13,505,3
13,506,2
13,507,5
13,602,3
13,603,3
13,604,1
13,607,1
13,608,1
13,701,4
13,704,4
13,705,1
13,706,3
13,708,1
14,104,1
14,105,1
14,202,1
14,302,1
14,304,2
14,308,1
14,402,1
14,403,2
14,404,1
14,406,1
14,409,2
14,505,1
14,601,1
14,603,1
14,604,1
14,608,1
14,701,3
14,705,1
