week,PSA,SEX ABUSE
1,102,1
1,207,1
1,303,1
1,504,1
1,601,1
1,602,1
2,204,1
2,306,1
2,307,1
2,408,1
2,602,1
2,701,1
2,702,1
3,103,1
3,105,1
3,406,1
3,506,1
3,605,1
3,702,1
3,703,2
4,103,1
4,108,1
4,606,1
5,103,1
5,202,1
5,207,2
5,307,1
5,408,1
5,501,2
5,701,1
5,705,1
6,204,1
6,206,1
6,302,1
6,404,1
6,504,1
6,602,1
7,101,1
7,301,1
7,303,1
7,306,1
7,405,1
7,703,1
8,103,1
8,304,1
8,506,1
8,602,1
8,604,2
9,506,1
10,302,1
10,404,1
10,409,1
10,505,1
10,507,1
10,701,1
10,704,1
11,106,1
11,501,1
12,604,1
13,303,1
13,409,1
13,503,1
13,608,1
13,706,1
14,708,1
