week,PSA,THEFT F/AUTO
1,101,1
1,102,6
1,103,4
1,104,5
1,105,2
1,107,6
1,108,4
1,201,2
1,202,2
1,203,6
1,204,2
1,205,2
1,206,3
1,207,8
1,208,23
1,301,6
1,302,4
1,303,2
1,304,2
1,305,15
1,306,2
1,307,8
1,308,6
1,401,1
1,402,5
1,403,1
1,404,3
1,405,1
1,406,5
1,407,1
1,408,2
1,409,4
1,501,4
1,503,9
1,504,1
1,505,2
1,507,2
1,602,1
1,603,1
1,604,3
1,606,1
1,607,1
1,608,2
1,701,3
1,702,1
1,703,1
1,704,1
1,705,2
1,706,2
1,707,1
1,708,3
2,101,4
2,102,5
2,103,2
2,104,4
2,107,12
2,108,1
2,201,2
2,202,2
2,203,1
2,204,4
2,206,3
2,207,5
2,208,22
2,301,4
2,302,2
2,303,2
2,304,5
2,305,8
2,306,4
2,307,9
2,308,5
2,401,5
2,402,3
2,403,3
2,404,4
2,405,2
2,406,1
2,409,4
2,501,1
2,502,2
2,503,3
2,504,1
2,506,1
2,507,1
2,602,3
2,604,4
2,605,1
2,607,1
2,701,3
2,702,1
2,706,2
2,707,1
2,708,1
3,101,5
3,102,5
3,103,4
3,104,9
3,105,1
3,106,5
3,107,8
3,108,4
3,201,1
3,202,3
3,203,3
3,204,2
3,205,2
3,206,4
3,207,6
3,208,13
3,301,3
3,303,7
3,304,1
3,305,10
3,306,5
3,307,8
3,308,3
3,401,1
3,402,1
3,403,5
3,404,3
3,405,2
3,406,5
3,407,3
3,408,2
3,409,4
3,501,5
3,502,1
3,503,5
3,504,2
3,505,3
3,506,3
3,602,4
3,603,2
3,604,1
3,605,2
3,606,1
3,607,1
3,608,2
3,702,1
3,704,1
3,705,1
3,706,1
3,707,1
4,101,4
4,102,2
4,103,6
4,104,8
4,105,5
4,106,1
4,107,2
4,108,5
4,201,4
4,202,3
4,203,5
4,204,7
4,205,2
4,206,5
4,207,7
4,208,12
4,301,4
4,302,2
4,303,4
4,304,10
4,305,12
4,306,5
4,307,16
4,308,4
4,401,9
4,402,9
4,403,6
4,404,3
4,406,5
4,407,2
4,409,2
4,501,2
4,502,4
4,503,5
4,504,4
4,505,1
4,506,6
4,507,1
4,602,2
4,603,1
4,604,2
4,607,2
4,608,2
4,701,3
4,702,1
4,703,2
4,704,3
4,705,2
4,706,1
4,708,1
5,101,2
5,102,5
5,103,6
5,104,10
5,105,3
5,106,3
5,107,4
5,108,4
5,201,2
5,202,8
5,203,3
5,204,2
5,206,6
5,207,3
5,208,11
5,301,5
5,302,4
5,303,1
5,304,8
5,305,9
5,306,5
5,307,7
5,308,6
5,401,7
5,402,7
5,403,3
5,404,2
5,405,2
5,406,3
5,407,3
5,409,1
5,501,1
5,502,7
5,503,3
5,504,1
5,505,4
5,506,2
5,602,3
5,603,2
5,604,5
5,605,1
5,606,2
5,608,5
5,701,2
5,703,6
5,704,1
5,705,2
5,706,1
5,707,1
6,101,1
6,102,11
6,103,6
6,104,1
6,105,1
6,106,3
6,107,3
6,108,1
6,201,1
6,203,1
6,204,2
6,205,1
6,206,2
6,207,2
6,208,1
6,301,3
6,302,2
6,303,2
6,304,11
6,305,14
6,306,6
6,307,14
6,308,5
6,401,3
6,402,5
6,403,4
6,405,1
6,406,4
6,409,1
6,501,2
6,502,4
6,503,3
6,504,7
6,505,3
6,506,12
6,601,1
6,602,3
6,604,5
6,605,1
6,606,2
6,607,2
6,608,1
6,701,1
6,703,3
6,704,2
6,705,2
7,101,1
7,102,10
7,103,5
7,104,12
7,105,5
7,106,5
7,107,4
7,202,1
7,203,5
7,205,2
7,206,5
7,207,1
7,208,14
7,301,2
7,302,16
7,303,6
7,304,6
7,305,26
7,306,5
7,307,18
7,308,5
7,401,11
7,402,6
7,403,5
7,404,4
7,405,1
7,406,2
7,407,3
7,408,3
7,409,9
7,501,1
7,502,2
7,503,2
7,504,3
7,505,3
7,506,3
7,507,4
7,601,1
7,603,1
7,606,1
7,607,1
7,608,1
7,703,1
7,704,2
7,705,1
7,706,3
7,707,1
7,708,1
8,101,2
8,102,8
8,103,10
8,104,4
8,105,1
8,106,3
8,107,3
8,108,1
8,201,3
8,202,3
8,203,2
8,204,9
8,205,1
8,206,3
8,207,6
8,208,15
8,301,8
8,302,6
8,303,3
8,304,7
8,305,23
8,306,4
8,307,10
8,308,3
8,401,4
8,402,7
8,403,8
8,404,2
8,405,2
8,406,2
8,407,3
8,409,5
8,501,4
8,502,6
8,503,6
8,504,1
8,505,2
8,506,3
8,507,5
8,601,1
8,602,3
8,603,1
8,604,1
8,605,1
8,607,3
8,701,3
8,702,1
8,703,1
8,704,2
8,705,2
8,706,3
8,707,1
8,708,2
9,101,2
9,102,11
9,103,4
9,104,6
9,105,6
9,106,3
9,107,6
9,108,1
9,201,3
9,202,7
9,203,2
9,204,1
9,206,7
9,207,4
9,208,9
9,301,4
9,302,9
9,303,7
9,304,5
9,305,7
9,306,3
9,307,15
9,308,4
9,401,4
9,402,6
9,403,3
9,404,6
9,405,1
9,406,3
9,407,3
9,408,1
9,409,2
9,501,2
9,502,1
9,503,5
9,504,1
9,505,1
9,506,3
9,507,2
9,602,1
9,603,1
9,604,1
9,605,2
9,606,1
9,607,2
9,701,4
9,705,2
9,706,1
9,707,2
9,708,1
10,101,4
10,102,5
10,103,6
10,104,6
10,105,2
10,106,3
10,107,6
10,108,5
10,201,2
10,202,3
10,203,1
10,205,1
10,206,2
10,207,10
10,208,11
10,301,8
10,302,8
10,303,4
10,304,9
10,305,10
10,306,7
10,307,15
10,308,7
10,401,3
10,402,4
10,403,4
10,404,4
10,405,1
10,406,3
10,407,3
10,408,1
10,409,2
10,501,4
10,502,5
10,503,2
10,504,4
10,506,6
10,507,1
10,601,1
10,602,1
10,603,3
10,604,2
10,605,3
10,606,3
10,607,2
10,608,3
10,701,2
10,702,1
10,704,2
10,706,2
11,101,3
11,102,9
11,103,8
11,104,8
11,105,3
11,106,1
11,107,4
11,108,2
11,201,7
11,202,3
11,203,2
11,204,7
11,205,4
11,206,6
11,207,7
11,208,16
11,301,2
11,302,9
11,303,4
11,304,10
11,305,18
11,306,4
11,307,14
11,308,9
11,401,5
11,402,5
11,403,3
11,404,4
11,405,3
11,406,3
11,407,2
11,409,6
11,501,5
11,502,1
11,503,4
11,504,1
11,505,4
11,506,7
11,507,3
11,601,1
11,602,3
11,603,6
11,604,3
11,605,1
11,701,3
11,703,1
11,704,1
11,705,2
11,706,2
11,708,2
12,101,3
12,102,12
12,103,5
12,104,6
12,105,5
12,106,3
12,107,3
12,108,7
12,201,2
12,202,4
12,203,4
12,204,2
12,206,2
12,207,8
12,208,15
12,301,9
12,302,13
12,303,1
12,304,8
12,305,28
12,306,3
12,307,12
12,308,7
12,401,1
12,402,5
12,403,5
12,404,7
12,405,1
12,406,2
12,407,9
12,408,3
12,409,6
12,501,1
12,502,2
12,503,7
12,504,3
12,505,3
12,506,8
12,601,1
12,602,5
12,603,5
12,604,3
12,605,4
12,606,1
12,607,2
12,608,1
12,701,1
12,706,1
12,707,6
12,708,1
13,101,6
13,102,11
13,103,13
13,104,2
13,105,5
13,106,5
13,107,2
13,108,3
13,201,4
13,202,3
13,203,5
13,204,2
13,205,1
13,206,4
13,207,7
13,208,9
13,301,10
13,302,3
13,303,4
13,304,7
13,305,5
13,306,4
13,307,12
13,308,7
13,401,1
13,402,4
13,403,2
13,404,7
13,405,1
13,407,1
13,409,6
13,501,3
13,502,5
13,503,8
13,504,6
13,505,1
13,506,3
13,507,5
13,601,1
13,602,4
13,603,2
13,604,2
13,605,1
13,607,3
13,608,1
13,701,8
13,702,1
13,704,1
13,705,1
13,708,2
14,101,2
14,102,1
14,105,1
14,107,1
14,108,1
14,202,2
14,207,4
14,208,4
14,302,4
14,303,2
14,304,2
14,305,1
14,306,2
14,307,1
14,402,1
14,403,1
14,409,2
14,501,1
14,503,7
14,504,3
14,505,3
14,507,2
14,601,2
14,604,2
14,605,2
14,606,2
14,701,1
14,704,1
14,706,3
