week,PSA,THEFT/OTHER
1,101,12
1,102,9
1,103,5
1,104,8
1,105,9
1,106,1
1,107,7
1,108,14
1,202,3
1,204,9
1,205,2
1,206,14
1,207,12
1,208,11
1,301,3
1,302,11
1,303,4
1,304,7
1,305,4
1,306,3
1,307,7
1,308,3
1,401,2
1,402,5
1,405,6
1,406,3
1,408,1
1,409,3
1,501,2
1,502,1
1,503,2
1,504,3
1,505,8
1,506,2
1,507,1
1,601,1
1,602,3
1,603,1
1,604,3
1,605,1
1,606,1
1,607,4
1,701,2
1,702,3
1,703,6
1,704,10
1,706,2
1,707,3
1,708,1
2,101,5
2,102,18
2,103,5
2,104,4
2,105,2
2,106,6
2,107,9
2,108,9
2,201,1
2,202,3
2,203,2
2,204,9
2,206,13
2,207,6
2,208,7
2,301,9
2,302,14
2,303,5
2,304,2
2,305,5
2,306,1
2,307,5
2,308,1
2,401,1
2,402,5
2,403,3
2,404,3
2,405,2
2,406,1
2,407,1
2,409,5
2,501,6
2,502,3
2,503,1
2,504,3
2,505,6
2,506,4
2,507,2
2,601,2
2,602,8
2,603,9
2,604,3
2,605,4
2,607,6
2,608,1
2,701,4
2,703,1
2,704,2
2,705,1
2,706,3
2,707,1
2,708,4
3,101,12
3,102,12
3,103,4
3,104,7
3,105,10
3,106,8
3,107,8
3,108,4
3,201,1
3,202,8
3,203,3
3,204,9
3,205,1
3,206,9
3,207,14
3,208,14
3,301,6
3,302,13
3,303,9
3,304,6
3,305,5
3,306,1
3,307,7
3,308,3
3,402,5
3,403,6
3,404,5
3,405,2
3,406,3
3,407,1
3,408,5
3,409,2
3,501,1
3,502,4
3,503,5
3,504,2
3,505,10
3,506,8
3,507,5
3,601,3
3,602,6
3,603,4
3,604,1
3,605,2
3,606,3
3,607,2
3,608,1
3,701,4
3,702,1
3,704,4
3,705,3
3,706,1
3,707,1
3,708,2
4,101,12
4,102,19
4,103,6
4,104,8
4,105,8
4,106,4
4,107,10
4,108,8
4,202,8
4,203,5
4,204,7
4,205,1
4,206,13
4,207,12
4,208,9
