week,PSA,THEFT F/AUTO
1,301,3
1,302,3
1,303,1
1,304,1
1,305,6
1,307,4
1,308,3
2,301,4
2,302,1
2,303,1
2,304,3
2,305,15
2,306,6
2,307,9
2,308,5
3,301,4
3,302,2
3,303,7
3,304,3
3,305,5
3,306,3
3,307,9
3,308,3
4,301,5
4,303,3
4,304,6
4,305,15
4,306,5
4,307,8
4,308,4
5,301,1
5,302,3
5,303,3
5,304,8
5,305,7
5,306,3
5,307,16
5,308,7
6,301,6
6,302,5
6,303,2
6,304,12
6,305,10
6,306,6
6,307,9
6,308,4
7,301,2
7,302,6
7,303,3
7,304,7
7,305,16
7,306,7
7,307,16
7,308,5
8,301,6
8,302,13
8,303,6
8,304,5
8,305,32
8,306,2
8,307,13
8,308,3
9,301,7
9,302,5
9,303,5
9,304,7
9,305,15
9,306,5
9,307,15
9,308,5
10,301,6
10,302,12
10,303,5
10,304,5
10,305,7
10,306,4
10,307,13
10,308,5
11,301,3
11,302,7
11,303,4
11,304,8
11,305,12
11,306,7
11,307,13
11,308,6
12,301,7
12,302,9
12,303,2
12,304,12
12,305,24
12,306,3
12,307,15
12,308,9
13,301,6
13,302,10
13,303,4
13,304,8
13,305,18
13,306,4
13,307,12
13,308,9
14,301,8
14,302,6
14,303,3
14,304,6
14,305,4
14,306,4
14,307,7
14,308,3
